,Course Code,Course Title,HEI,R1 Points 2021,R2 Points 2021,R1 Points 2020,R2 Points 2020,R1 Points 2019
391,DL833,Photography and Visual Media,"Dun Laoghaire Institute of Art, Design and Technology",671,671,,,
392,DL836,Creative Computing,"Dun Laoghaire Institute of Art, Design and Technology",235,,,,
393,DL837,New Media Studies,"Dun Laoghaire Institute of Art, Design and Technology",298,293,,,
394,DL838,Creative Music Production,"Dun Laoghaire Institute of Art, Design and Technology",713,,,,
395,DL839,Interaction and User Experience Design,"Dun Laoghaire Institute of Art, Design and Technology",757,,,,
396,DL840,Digital Marketing,"Dun Laoghaire Institute of Art, Design and Technology",210,,,,
397,DL841,English and Equality Studies,"Dun Laoghaire Institute of Art, Design and Technology",277,277,,,
398,DL843,Film,"Dun Laoghaire Institute of Art, Design and Technology",987,874,,,
399,DL844,Television,"Dun Laoghaire Institute of Art, Design and Technology",566,,,,
400,DL845,Design for Film (degree options),"Dun Laoghaire Institute of Art, Design and Technology",628,,,,
401,GC200,Business,Griffith College,269,242,,,
402,GC201,Accounting and Finance,Griffith College,260,226,,,
403,GC230,Computing Science,Griffith College,300,289,,,
404,GC250,Communications and Media Production,Griffith College,,,,,
405,GC300,Business,Griffith College,264,264,,,
406,GC301,Accounting and Finance,Griffith College,,251,,,
407,GC302,Business - HRM,Griffith College,377,377,,,
408,GC307,Business (Marketing),Griffith College,289,270,,,
409,GC335,Computing,Griffith College,171,171,,,
410,GC400,Business,Griffith College,250,228,,,
411,GC401,Accounting and Finance,Griffith College,242,242,,,
412,GC402,Business (HRM),Griffith College,,,,,
413,GC403,Law,Griffith College,245,242,,,
414,GC407,Business (Marketing),Griffith College,264,264,,,
415,GC410,Marketing,Griffith College,122,122,,,
416,GC411,Business,Griffith College,180,180,,,
417,GC430,Computing Science,Griffith College,251,251,,,
418,GC435,Computing,Griffith College,108,108,,,
419,GC450,Communications and Media Production,Griffith College,225,225,,,
420,GC460,Music Production for Games (portfolio),Griffith College,,,,,
421,GC462,Design Communication (portfolio),Griffith College,300,,,,
422,GC465,Communications,Griffith College,118,118,,,
423,GC466,Film and TV Production,Griffith College,121,121,,,
424,GC470,Photographic Media,Griffith College,163,163,,,
425,GC475,Photography,Griffith College,125,125,,,
426,GC489,Interior Architecture (portfolio),Griffith College,288,274,,,
427,GC490,Interior Design,Griffith College,137,137,,,
428,GC494,Fashion Design (portfolio),Griffith College,351,,,,
429,GC495,Fashion,Griffith College,110,110,,,
430,BY001,Business,IBAT College Dublin,210,210,,,
431,BY002,Business,IBAT College Dublin,347,171,,,
432,ID001,Accounting and Finance,ICD Business School,,,,,
433,ID002,Business Studies,ICD Business School,,,,,
434,AD101,"First Year Art and Design (Common Entry,portfolio)",National College of Art and Design,554,,,,
435,AD102,Graphic Design and Moving Image Design (portfolio),National College of Art and Design,538,,,,
436,AD103,Textile and Surface Design and Jewellery and Objects (portfolio),National College of Art and Design,505,,,,
437,AD202,"Education and Design or Fine Art (Second Level Teaching,portfolio))",National College of Art and Design,591,,,,
438,AD204,Fine Art (portfolio),National College of Art and Design,514,,,,
439,AD211,Fashion Design (portfolio),National College of Art and Design,760,679,,,
440,AD212,Product Design (portfolio),National College of Art and Design,413,,,,
441,AD215,Visual Culture,National College of Art and Design,337,300,,,
442,AD217,Illustration (portfolio),National College of Art and Design,738,,,,
443,AD222,Interaction Design (portfolio),National College of Art and Design,444,,,,
444,NC003,Computing (Degree Award options),National College of Ireland (NCI),271,,,,
445,NC005,Human Resource Management,National College of Ireland (NCI),301,,,,
446,NC009,Business,National College of Ireland (NCI),300,,,,
447,NC010,Psychology,National College of Ireland (NCI),420,,,,
448,NC020,Marketing Practice,National College of Ireland (NCI),270,,,,
449,NC022,Accounting and Finance,National College of Ireland (NCI),330,,,,
450,NC023,Technology Management (with specialisations),National College of Ireland (NCI),266,,,,
451,NC030,Early Childhood Education and Care,National College of Ireland (NCI),251,251,,,
452,NC102,Computing,National College of Ireland (NCI),225,,,,
453,NC103,Business,National College of Ireland (NCI),252,,,,
454,NC104,Business Computing,National College of Ireland (NCI),242,,,,
455,RC001,Medicine - Undergraduate Entry (HPAT required),RCSI University of Medicine & Health Sciences,741,740,,,
456,RC004,Physiotherapy,RCSI University of Medicine & Health Sciences,589,589,,,
457,RC005,Pharmacy,RCSI University of Medicine & Health Sciences,613,613,,,
458,RC101,Medicine - Graduate Entry (GAMSAT required),RCSI University of Medicine & Health Sciences,,,,,
459,NM701,Montessori Education,St Nicholas Montessori College Ireland,137,137,,,
460,NM801,Montessori Education,St Nicholas Montessori College Ireland,262,,,,
461,NM802,Psychology,St Nicholas Montessori College Ireland,228,,,,
462,TU605,Electronic and Information Engineering,Technological University Dublin,190,,,,
463,TU606,Mechanical Engineering (General Entry),Technological University Dublin,192,,,,
464,TU641,Bar and Restaurant Management,Technological University Dublin,243,,,,
465,TU642,Culinary Arts (Cuisine and Wellness),Technological University Dublin,154,,,,
466,TU643,Culinary Arts (Professional Cookery Practice),Technological University Dublin,242,,,,
467,TU644,Food Management and Entrepreneurship,Technological University Dublin,250,,,,
468,TU645,Food Science and Management,Technological University Dublin,251,,,,
469,TU651,Applied Biology,Technological University Dublin,361,,,,
470,TU652,Computing,Technological University Dublin,240,,,,
471,TU654,Pharmacy Technician Studies,Technological University Dublin,350,,,,
472,TU655,Computing (Networking Technologies) Learn and Work,Technological University Dublin,502,,,,
473,TU670,Business (campus options),Technological University Dublin,224,,,,
474,TU673,Business Management,Technological University Dublin,301,,,,
475,TU674,Business Studies,Technological University Dublin,307,,,,
476,TU675,Marketing,Technological University Dublin,301,,,,
477,TU676,Retail Management and Marketing,Technological University Dublin,290,,,,
478,TU701,Automation Engineering,Technological University Dublin,243,,,,
479,TU702,Sustainable Energy and Environmental Engineering,Technological University Dublin,249,,,,
480,TU703,Building Engineering,Technological University Dublin,273,,,,
481,TU704,Civil Engineering,Technological University Dublin,260,,,,
482,TU705,Electrical and Control Engineering,Technological University Dublin,272,,,,
483,TU706,Electrical Services Engineering,Technological University Dublin,245,,,,
484,TU708,Engineering (Common Entry with Award options),Technological University Dublin,,263,,,
485,TU709,Engineering (General Entry),Technological University Dublin,400,,,,
486,TU711,Mechatronic Engineering,Technological University Dublin,225,,,,
487,TU713,Computer Engineering,Technological University Dublin,222,,,,
488,TU714,Electronics and Communications Engineering,Technological University Dublin,262,,,,
489,TU716,Networking Technology,Technological University Dublin,249,,,,
490,TU717,Mechanical Engineering,Technological University Dublin,301,,,,
491,TU719,"Design,Technology and Innovation",Technological University Dublin,261,,,,
492,TU720,Automotive Management and Technology,Technological University Dublin,232,,,,
493,TU721,Aviation Technology,Technological University Dublin,302,,,,
494,TU722,Process Instrumentation and Automation Learn and Work (Test&Interview),Technological University Dublin,346,346,,,
495,TU725,Mechanical Engineering (General Entry),Technological University Dublin,222,,,,
496,TU726,Electronic Engineering (General Entry),Technological University Dublin,215,,,,
497,TU731,"Auctioneering, Valuation and Estate Agency",Technological University Dublin,330,,,,
498,TU735,Sports Management and Coaching,Technological University Dublin,270,,,,
499,TU736,Sports Science and Health,Technological University Dublin,484,,,,
500,TU737,Sports Studies,Technological University Dublin,250,,,,
501,TU741,Baking and Pastry Arts Management,Technological University Dublin,231,,,,
502,TU742,Culinary Arts,Technological University Dublin,158,,,,
503,TU745,Hospitality Management,Technological University Dublin,252,,,,
504,TU746,International Hospitality and Tourism Management,Technological University Dublin,157,144,,,
505,TU747,Tourism Management,Technological University Dublin,263,,,,
506,TU751,Biosciences,Technological University Dublin,418,,,,
507,TU752,DNA and Forensic Analysis,Technological University Dublin,500,442,,,
508,TU754,Industrial and Environmental Physics,Technological University Dublin,273,,,,
509,TU755,Science (General Entry),Technological University Dublin,361,,,,
510,TU756,Computing,Technological University Dublin,201,,,,
511,TU757,Computing (Information Technology),Technological University Dublin,227,,,,
512,TU758,Digital Forensics and Cyber Security,Technological University Dublin,223,,,,
513,TU760,Bioanalysis,Technological University Dublin,360,,,,
514,TU761,Ophthalmic Dispensing,Technological University Dublin,316,,,,
515,TU762,Medicinal Chemistry and Pharmaceutical Sciences,Technological University Dublin,320,,,,
516,TU763,Pharmaceutical Science,Technological University Dublin,391,,,,
517,TU772,Business (options),Technological University Dublin,,250,,,
518,TU780,Advertising and Marketing Communications,Technological University Dublin,201,190,,,
519,TU781,Digital Marketing,Technological University Dublin,223,,,,
520,TU782,Digital Marketing,Technological University Dublin,200,185,,,
521,TU787,Business (options),Technological University Dublin,200,180,,,
522,TU788,Accounting and Finance (campus options),Technological University Dublin,231,,,,
523,TU790,Early Childhood Care and Education (campus options),Technological University Dublin,223,,,,
524,TU791,Applied Social Studies in Social Care,Technological University Dublin,320,,,,
525,TU792,Community and Youth Development,Technological University Dublin,,242,,,
526,TU795,Visual Merchandising and Display,Technological University Dublin,618,,,,
527,TU796,Creative Digital Media,Technological University Dublin,224,,,,
528,TU801,Sustainable Energy Engineering,Technological University Dublin,235,,,,
529,TU802,Electrical Services and Energy Management,Technological University Dublin,309,,,,
530,TU804,Engineering (Common Entry with Award options),Technological University Dublin,270,,,,
531,TU805,Engineering (General Entry),Technological University Dublin,466,465,,,
532,TU807,Computer Engineering in Mobile Systems,Technological University Dublin,274,,,,
533,TU810,Mechatronic Engineering,Technological University Dublin,271,,,,
534,TU811,Product Design,Technological University Dublin,440,434,,,
535,TU812,"Design,Technology and Innovation",Technological University Dublin,278,,,,
536,TU814,Sustainable Transport Management,Technological University Dublin,253,253,,,
537,TU828,Mechanical Engineering (General Entry),Technological University Dublin,300,,,,
538,TU829,Electronic Engineering (General Entry),Technological University Dublin,248,248,,,
539,TU831,Architectural Technology,Technological University Dublin,423,,,,
540,TU832,Architecture (Suitability Test and Interview),Technological University Dublin,644,638,,,
541,TU833,Construction Management,Technological University Dublin,396,,,,
542,TU834,Geographic Science,Technological University Dublin,315,,,,
543,TU835,Planning and Environmental Management,Technological University Dublin,330,,,,
544,TU836,Property Economics (Valuation Surveying),Technological University Dublin,411,,,,
545,TU837,Quantity Surveying and Construction Economics,Technological University Dublin,413,,,,
546,TU838,Sustainable Timber Technology,Technological University Dublin,307,271,,,
547,TU851,"Analytical Chemistry (Environmental, Forensic and Pharmaceutical)",Technological University Dublin,400,,,,
548,TU852,Chemical Sciences with Medicinal Chemistry,Technological University Dublin,477,,,,
549,TU854,Science (General Entry),Technological University Dublin,510,,,,
550,TU855,Science with Nanotechnology,Technological University Dublin,322,,,,
551,TU856,Computer Science,Technological University Dublin,499,,,,
552,TU857,Computer Science (Infrastructure),Technological University Dublin,403,,,,
553,TU858,Computer Science (International),Technological University Dublin,395,,,,
554,TU859,Computing,Technological University Dublin,251,,,,
555,TU860,Computing (Information Technology),Technological University Dublin,270,,,,
556,TU861,Computing with Language (French/German/Spanish),Technological University Dublin,235,235,,,
557,TU862,Computing with Artificial Intelligence Machine Learning,Technological University Dublin,262,,,,
558,TU863,Digital Forensics and Cyber Security,Technological University Dublin,282,,,,
559,TU864,DNA and Forensic Analysis,Technological University Dublin,500,441,,,
560,TU865,Cloud Computing,Technological University Dublin,235,,,,
561,TU866,Biomedical and Molecular Diagnostics,Technological University Dublin,522,,,,
562,TU867,Biomedical Science,Technological University Dublin,576,566,,,
563,TU868,Clinical Measurement Science,Technological University Dublin,542,,,,
564,TU869,Environmental Health,Technological University Dublin,387,,,,
565,TU870,Human Nutrition and Dietetics,Technological University Dublin,601,,,,
566,TU871,Optometry,Technological University Dublin,532,,,,
567,TU872,Public Health Nutrition,Technological University Dublin,487,,,,
568,TU874,Mathematical Sciences,Technological University Dublin,294,294,,,
569,TU875,Pharmaceutical Healthcare,Technological University Dublin,451,,,,
570,TU876,Pharmaceutical Science,Technological University Dublin,445,,,,
571,TU877,Physics Technology,Technological University Dublin,314,314,,,
572,TU878,Physics with Energy and Environment,Technological University Dublin,339,,,,
573,TU879,Physics with Medical Physics and Bioengineering,Technological University Dublin,346,,,,
574,TU880,Physics with Data Science,Technological University Dublin,412,,,,
575,TU881,Food Innovation,Technological University Dublin,309,,,,
576,TU882,Nutraceuticals in Health and Nutrition,Technological University Dublin,380,,,,
577,TU902,Business (options),Technological University Dublin,270,,,,
578,TU903,Business and Management,Technological University Dublin,477,,,,
579,TU904,Business and Law,Technological University Dublin,462,,,,
580,TU905,Economics and Finance,Technological University Dublin,460,,,,
581,TU906,Human Resource Management,Technological University Dublin,386,377,,,
582,TU907,Logistics and Supply Chain Management,Technological University Dublin,300,,,,
583,TU910,Accounting,Technological University Dublin,420,,,,
584,TU912,Business Analytics,Technological University Dublin,331,311,,,
585,TU914,Business Computing,Technological University Dublin,322,,,,
586,TU917,Law (LLB ) with a Language,Technological University Dublin,356,,,,
587,TU918,Law (LLB),Technological University Dublin,463,,,,
588,TU919,Advertising and Marketing Communications,Technological University Dublin,219,,,,
589,TU920,Digital Marketing,Technological University Dublin,270,,,,
590,TU921,Digital Marketing Technologies,Technological University Dublin,230,,,,
591,TU922,Marketing,Technological University Dublin,412,,,,
592,TU924,E-Commerce in Retailing,Technological University Dublin,307,,,,
593,TU925,Retail and Services Management,Technological University Dublin,307,,,,
594,TU932,Business (options),Technological University Dublin,211,,,,
595,TU933,Accounting and Finance (campus options),Technological University Dublin,251,,,,
596,TU935,Sports Management and Coaching,Technological University Dublin,300,,,,
597,TU936,Sports Science and Health,Technological University Dublin,484,,,,
598,TU941,Botanical Cuisine,Technological University Dublin,311,,,,
599,TU942,Culinary Arts,Technological University Dublin,252,,,,
600,TU943,Culinary Entrepreneurship,Technological University Dublin,261,,,,
601,TU944,Culinary Science,Technological University Dublin,336,,,,
602,TU951,International Hospitality and Tourism Management,Technological University Dublin,244,,,,
603,TU952,International Hospitality Management,Technological University Dublin,309,,,,
604,TU953,Tourism and Digital Marketing,Technological University Dublin,308,,,,
605,TU954,Event Management,Technological University Dublin,326,,,,
606,TU955,Sports and Leisure Management,Technological University Dublin,275,,,,
607,TU961,Commercial Modern Music (BIMM - assessment/audition),Technological University Dublin,536,536,,,
608,TU962,"Drama (Performance, audition)",Technological University Dublin,448,,,,
609,TU963,Music (audition),Technological University Dublin,364,,,,
610,TU965,International Business and Languages,Technological University Dublin,357,,,,
611,TU967,Languages and International Tourism,Technological University Dublin,298,,,,
612,TU973,Design - Visual Communication (portfolio),Technological University Dublin,700,,,,
613,TU974,Fine Art (portfolio),Technological University Dublin,549,,,,
614,TU975,Interior Design (portfolio),Technological University Dublin,544,,,,
615,TU976,Photography (portfolio),Technological University Dublin,700,,,,
616,TU978,Creative Industries and Visual Culture,Technological University Dublin,299,,,,
617,TU981,Creative Digital Media,Technological University Dublin,280,,,,
618,TU982,Media Production and Digital Arts,Technological University Dublin,369,,,,
619,TU983,Film and Broadcasting,Technological University Dublin,462,453,,,
620,TU984,Game Design,Technological University Dublin,414,,,,
621,TU985,Journalism,Technological University Dublin,367,,,,
622,TU989,Early Childhood Care and Education (campus options),Technological University Dublin,270,,,,
623,TU991,Applied Social Studies in Social Care,Technological University Dublin,326,,,,
624,TU992,Community Development and Youth Work,Technological University Dublin,251,,,,
625,TU995,Early Childhood Education,Technological University Dublin,378,,,,
626,TU996,Social Care,Technological University Dublin,407,,,,
627,TU997,Applied Social Care,Technological University Dublin,320,,,,
628,TR002,Music,Trinity College Dublin,508,477,,,
629,TR003,History,Trinity College Dublin,552,543,,,
630,TR004,Law,Trinity College Dublin,590,589,,,
631,TR005,Philosophy,Trinity College Dublin,510,497,,,
632,TR006,Psychology,Trinity College Dublin,601,590,,,
633,TR007,Clinical Speech and Language Studies,Trinity College Dublin,564,,,,
634,TR009,Music Education,Trinity College Dublin,496,486,,,
635,TR015,"Philosophy, Political Science, Economics and Sociology",Trinity College Dublin,613,613,,,
636,TR016,Deaf Studies,Trinity College Dublin,389,,,,
637,TR018,Law and French,Trinity College Dublin,602,602,,,
638,TR019,Law and German,Trinity College Dublin,577,567,,,
639,TR021,"Classics, Ancient History and Archaeology",Trinity College Dublin,467,462,,,
640,TR022,Early and Modern Irish,Trinity College Dublin,377,,,,
641,TR023,English Studies,Trinity College Dublin,546,541,,,
642,TR024,European Studies,Trinity College Dublin,566,,,,
643,TR025,Drama and Theatre Studies,Trinity College Dublin,543,519,,,
644,TR028,Ancient and Medieval History and Culture,Trinity College Dublin,498,463,,,
645,TR031,Mathematics,Trinity College Dublin,579,578,,,
646,TR032,Engineering,Trinity College Dublin,556,555,,,
647,TR033,Computer Science,Trinity College Dublin,566,549,,,
648,TR034,Management Science and Information Systems Studies,Trinity College Dublin,625,625,,,
649,TR035,Theoretical Physics,Trinity College Dublin,590,589,,,
650,TR038,Engineering with Management,Trinity College Dublin,589,589,,,
651,TR039,"Computer Science, Linguistics and a Language",Trinity College Dublin,443,,,,
652,TR040,Middle Eastern and European Languages and Cultures,Trinity College Dublin,520,499,,,
653,TR041,Religion,Trinity College Dublin,417,,,,
654,TR042,Film,Trinity College Dublin,531,522,,,
655,TR043,History of Art and Architecture,Trinity College Dublin,498,486,,,
656,TR051,Medicine (HPAT required),Trinity College Dublin,743,743,,,
657,TR052,Dental Science,Trinity College Dublin,625,625,,,
658,TR053,Physiotherapy,Trinity College Dublin,590,,,,
659,TR054,Occupational Therapy,Trinity College Dublin,578,577,,,
660,TR055,Radiation Therapy,Trinity College Dublin,577,566,,,
661,TR056,Human Health and Disease,Trinity College Dublin,601,,,,
662,TR060,Biological and Biomedical Sciences,Trinity College Dublin,578,577,,,
663,TR061,Chemical Sciences,Trinity College Dublin,558,554,,,
664,TR062,Geography and Geoscience,Trinity College Dublin,495,,,,
665,TR063,Physical Sciences,Trinity College Dublin,554,543,,,
666,TR064,Environmental Science and Engineering,Trinity College Dublin,555,,,,
667,TR072,Pharmacy,Trinity College Dublin,613,613,,,
668,TR080,Global Business,Trinity College Dublin,613,,,,
669,TR081,"Business, Economic and Social Studies (BESS)",Trinity College Dublin,577,567,,,
670,TR084,Social Studies (Social Work),Trinity College Dublin,497,487,,,
671,TR085,Business Studies and French,Trinity College Dublin,564,,,,
672,TR086,Business Studies and German,Trinity College Dublin,530,,,,
673,TR087,Business Studies and Russian,Trinity College Dublin,487,,,,
674,TR089,Business Studies and Polish,Trinity College Dublin,391,,,,
675,TR090,Business Studies and Spanish,Trinity College Dublin,566,,,,
676,TR091,General Nursing (Meath and St James`s),Trinity College Dublin,462,456,,,
677,TR093,General Nursing (Adelaide School of Nursing),Trinity College Dublin,473,,,,
678,TR095,Mental Health Nursing,Trinity College Dublin,442,,,,
679,TR097,Intellectual Disability Nursing,Trinity College Dublin,412,410,,,
680,TR111,Ancient History and Archaeology/Geography,Trinity College Dublin,496,,,,
681,TR112,Ancient History and Archaeology/History,Trinity College Dublin,577,,,,
682,TR113,Ancient History and Archaeology/History of Art and Architecture,Trinity College Dublin,528,,,,
683,TR114,Ancient History and Archaeology/Modern Language,Trinity College Dublin,507,,,,
684,TR117,Ancient History and Archaeology/Religion,Trinity College Dublin,494,,,,
685,TR166,Classical Civilisation/English Literature,Trinity College Dublin,552,,,,
686,TR173,Classical Civilisation/History of Art and Architecture,Trinity College Dublin,420,,,,
687,TR177,Classical Civilisation/Modern Language,Trinity College Dublin,484,,,,
688,TR179,Classical Civilisation/Philosophy,Trinity College Dublin,508,,,,
689,TR188,Computer Science/Business Studies,Trinity College Dublin,584,,,,
690,TR198,Economics/Geography,Trinity College Dublin,968,956,,,
691,TR202,Economics/History,Trinity College Dublin,601,,,,
692,TR207,Economics/Mathematics,Trinity College Dublin,613,,,,
693,TR208,Economics/Modern Language,Trinity College Dublin,589,,,,
694,TR209,Economics/Philosophy,Trinity College Dublin,588,,,,
695,TR212,Economics/Sociology,Trinity College Dublin,589,,,,
696,TR214,Social Policy/Economics,Trinity College Dublin,611,,,,
697,TR228,Classical Languages/English Literature,Trinity College Dublin,555,,,,
698,TR230,Classical Languages/Linguistics,Trinity College Dublin,501,,,,
699,TR231,Classical Languages/History of Art and Architecture,Trinity College Dublin,613,,,,
700,TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",Trinity College Dublin,583,,,,
701,TR239,Classical Languages/Modern Language,Trinity College Dublin,543,,,,
702,TR240,Computer Science/Geography,Trinity College Dublin,482,,,,
703,TR241,Computer Science/Linguistics,Trinity College Dublin,495,,,,
704,TR262,English Literature/History,Trinity College Dublin,576,,,,
705,TR263,English Literature/History of Art and Architecture,Trinity College Dublin,571,,,,
706,TR269,English Literature/Philosophy,Trinity College Dublin,555,,,,
707,TR272,English Literature/Sociology,Trinity College Dublin,553,,,,
708,TR276,English Literature/Drama Studies,Trinity College Dublin,555,,,,
709,TR277,English Literature/Modern Language,Trinity College Dublin,554,,,,
710,TR311,Film/Drama Studies,Trinity College Dublin,578,,,,
711,TR312,Film/English Literature,Trinity College Dublin,576,,,,
712,TR320,Film/Music,Trinity College Dublin,584,,,,
713,TR322,Geography/History,Trinity College Dublin,578,,,,
714,TR323,Drama Studies/Modern Language,Trinity College Dublin,495,,,,
715,TR324,Film/Modern Language,Trinity College Dublin,577,,,,
716,TR325,Film/History,Trinity College Dublin,578,,,,
717,TR326,Geography/Modern Language,Trinity College Dublin,451,,,,
718,TR328,Political Science/Geography,Trinity College Dublin,564,,,,
719,TR332,Geography/Sociology,Trinity College Dublin,522,,,,
720,TR443,History/History of Art and Architecture,Trinity College Dublin,581,,,,
721,TR447,History/Modern Language,Trinity College Dublin,576,,,,
722,TR449,History/Philosophy,Trinity College Dublin,579,,,,
723,TR454,History/Religion,Trinity College Dublin,,,,,
724,TR455,History of Art and Architecture/Modern Language,Trinity College Dublin,451,,,,
725,TR457,History/Political Science,Trinity College Dublin,576,,,,
726,TR479,History of Art and Architecture/Philosophy,Trinity College Dublin,509,,,,
727,TR482,Sociology/History of Art and Architecture,Trinity College Dublin,522,,,,
728,TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",Trinity College Dublin,543,,,,
729,TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",Trinity College Dublin,544,,,,
730,TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",Trinity College Dublin,576,,,,
731,TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",Trinity College Dublin,590,,,,
732,TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",Trinity College Dublin,,,,,
733,TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",Trinity College Dublin,999,949,,,
734,TR580,Business Studies/Law,Trinity College Dublin,625,,,,
735,TR581,History/Law,Trinity College Dublin,625,,,,
736,TR582,Political Science/Law,Trinity College Dublin,625,,,,
737,TR587,"Middle Eastern,Jewish and Islamic Civilisations/Linguistics",Trinity College Dublin,,,,,
738,TR588,Linguistics/Modern Language,Trinity College Dublin,456,,,,
739,TR589,Linguistics/Philosophy,Trinity College Dublin,520,,,,
740,TR592,"Sociology/Middle Eastern,Jewish and Islamic Civilisations",Trinity College Dublin,531,,,,
741,TR597,Mathematics/Modern Language,Trinity College Dublin,613,,,,
742,TR598,Mathematics/Music,Trinity College Dublin,625,,,,
743,TR599,Mathematics/Philosophy,Trinity College Dublin,625,,,,
744,TR629,Music/Philosophy,Trinity College Dublin,533,,,,
745,TR635,Music/Drama Studies,Trinity College Dublin,532,,,,
746,TR636,Music/Modern Language,Trinity College Dublin,530,,,,
747,TR638,Music/Religion,Trinity College Dublin,,,,,
748,TR639,Philosophy/Modern Language,Trinity College Dublin,520,,,,
749,TR662,Philosophy/Sociology,Trinity College Dublin,531,,,,
750,TR663,Religion/Classical Civilisation,Trinity College Dublin,418,,,,
751,TR664,Religion/English Literature,Trinity College Dublin,968,,,,
752,TR665,Religion/History of Art and Architecture,Trinity College Dublin,369,,,,
753,TR666,Religion/Modern Language,Trinity College Dublin,,,,,
754,TR667,French/Modern Language,Trinity College Dublin,466,,,,
755,TR668,German/Modern Language,Trinity College Dublin,441,,,,
756,TR669,Irish/Modern Language,Trinity College Dublin,464,,,,
757,TR670,Italian/Modern Language,Trinity College Dublin,462,,,,
758,TR671,Russian/Modern Language,Trinity College Dublin,501,,,,
759,TR672,Spanish/Modern Language,Trinity College Dublin,486,,,,
760,TR756,Sociology/Modern Language,Trinity College Dublin,522,,,,
761,TR757,Modern Language/Social Policy,Trinity College Dublin,555,,,,
762,TR758,Social Policy/Political Science,Trinity College Dublin,566,,,,
763,TR759,Sociology/Social Policy,Trinity College Dublin,554,,,,
764,TR801,Dental Nursing,Trinity College Dublin,490,485,,,
765,TR802,Dental Hygiene,Trinity College Dublin,577,565,,,
766,TR803,Dental Technology,Trinity College Dublin,543,498,,,
767,TR911,Children`s and General Nursing (Integrated),Trinity College Dublin,531,,,,
768,TR913,Midwifery,Trinity College Dublin,521,,,,
769,DN100,Architecture,University College Dublin (NUI),555,,,,
770,DN120,Landscape Architecture,University College Dublin (NUI),463,435,,,
771,DN130,City Planning and Environmental Policy,University College Dublin (NUI),445,424,,,
772,DN150,Engineering (Common Entry),University College Dublin (NUI),565,,,,
773,DN200,Science (options),University College Dublin (NUI),577,567,,,
774,DN201,Computer Science (Common Entry),University College Dublin (NUI),554,549,,,
775,DN230,Actuarial and Financial Studies,University College Dublin (NUI),613,613,,,
776,DN240,Sustainability,University College Dublin (NUI),510,,,,
777,DN250,Agricultural Science (options),University College Dublin (NUI),454,444,,,
778,DN261,Food Science,University College Dublin (NUI),531,,,,
779,DN262,Human Nutrition,University College Dublin (NUI),566,,,,
780,DN300,Veterinary Medicine - Undergraduate Entry,University College Dublin (NUI),601,,,,
781,DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),University College Dublin (NUI),,,,,
782,DN310,Veterinary Nursing,University College Dublin (NUI),521,509,,,
783,DN400,Medicine - Undergraduate Entry (HPAT required),University College Dublin (NUI),743,,,,
784,DN401,Medicine - Graduate Entry (GAMSAT required),University College Dublin (NUI),61,,,,
785,DN410,Radiography,University College Dublin (NUI),566,566,,,
786,DN411,Radiography - Graduate Entry,University College Dublin (NUI),,,,,
787,DN420,Physiotherapy,University College Dublin (NUI),601,601,,,
788,DN425,Health and Performance Science,University College Dublin (NUI),544,543,,,
789,DN430,Sport and Exercise Management,University College Dublin (NUI),484,476,,,
790,DN440,"Biomedical, Health and Life Sciences",University College Dublin (NUI),613,613,,,
791,DN450,General Nursing,University College Dublin (NUI),462,,,,
792,DN451,Children`s and General Nursing (Integrated),University College Dublin (NUI),533,,,,
793,DN452,Midwifery,University College Dublin (NUI),510,509,,,
794,DN453,Mental Health Nursing,University College Dublin (NUI),442,,,,
795,DN520,Joint Honours (options),University College Dublin (NUI),381,378,,,
796,DN530,Humanities (options),University College Dublin (NUI),397,388,,,
797,DN541,Modern Languages (options),University College Dublin (NUI),320,,,,
798,DN600,Law (options),University College Dublin (NUI),576,567,,,
799,DN610,Business and Law,University College Dublin (NUI),573,567,,,
800,DN650,Commerce,University College Dublin (NUI),555,,,,
801,DN660,Commerce International (options),University College Dublin (NUI),555,554,,,
802,DN670,Economics and Finance,University College Dublin (NUI),625,625,,,
803,DN700,Social Sciences (options),University College Dublin (NUI),475,474,,,
804,DN710,Economics,University College Dublin (NUI),534,532,,,
805,DN720,Psychology,University College Dublin (NUI),566,564,,,
806,DN750,Social Policy and Sociology,University College Dublin (NUI),421,,,,
807,DK710,Business and Management,Dundalk Institute of Technology,120,120,,,
808,DK711,Business and Technology,Dundalk Institute of Technology,140,140,,,
809,DK712,Digital Marketing and Public Relations,Dundalk Institute of Technology,206,195,,,
810,DK721,Computing,Dundalk Institute of Technology,120,120,,,
811,DK722,Augmented and Virtual Reality,Dundalk Institute of Technology,207,207,,,
812,DK730,Building Surveying,Dundalk Institute of Technology,243,204,,,
813,DK731,Architectural Technology,Dundalk Institute of Technology,253,210,,,
814,DK732,Construction Management,Dundalk Institute of Technology,243,229,,,
