,Course Code,Course Title,HEI,R1 Points,R2 Points ,EOS Points
179,CR335,Biological Sciences (Common Entry),Cork Institute of Technology,473,,473
180,CR340,Analytical Chemistry with Quality Assurance,Cork Institute of Technology,327,,327
181,CR360,Instrument Engineering,Cork Institute of Technology,301,,301
182,CR365,Environmental Science and Sustainable Technology,Cork Institute of Technology,262,,262
183,CR370,Agri-Biosciences,Cork Institute of Technology,368,,368
184,CR400,Accounting,Cork Institute of Technology,315,,315
185,CR420,Marketing,Cork Institute of Technology,290,,290
186,CR425,International Business with Language,Cork Institute of Technology,279,,279
187,CR430,Sport and Exercise Management,Cork Institute of Technology,402,,402
188,CR440,Montessori Education,Cork Institute of Technology,409,408,408
189,CR500,Engineering (Common Entry),Cork Institute of Technology,475,,475
190,CR510,Sustainable Energy Engineering,Cork Institute of Technology,320,,320
191,CR520,Biomedical Engineering,Cork Institute of Technology,444,,444
192,CR560,Architectural Technology,Cork Institute of Technology,375,,375
193,CR565,Interior Architecture,Cork Institute of Technology,431,,431
194,CR570,Quantity Surveying,Cork Institute of Technology,375,,375
195,CR572,Construction Management,Cork Institute of Technology,300,,300
196,CR580,Electrical Engineering,Cork Institute of Technology,342,,342
197,CR590,Electronic Engineering,Cork Institute of Technology,329,,329
198,CR600,Visual Communications at CIT Crawford College of Art and Design,Cork Institute of Technology,280,,280
204,CR660,Tourism Management,Cork Institute of Technology,246,,246
205,CR700,Theatre and Drama Studies at CIT Cork School of Music,Cork Institute of Technology,609,609,609
208,CR930,Home Economics and Business,Cork Institute of Technology,518,,510
209,CK101,Arts - 3 years,University College Cork (NUI),300,,300
210,CK102,Social Science,University College Cork (NUI),434,431,420
211,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),University College Cork (NUI),339,,339
212,CK105,Film and Screen Media - 3 years or 4 years (International Pathway),University College Cork (NUI),421,420,420
213,CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),University College Cork (NUI),312,,312
214,CK108,Arts International - 4 years,University College Cork (NUI),440,440,440
215,CK109,English - 3 years or 4 years (International Pathway),University College Cork (NUI),367,357,352
216,CK110,World Languages,University College Cork (NUI),488,,488
217,CK111,Early Years and Childhood Studies,University College Cork (NUI),409,403,378
218,CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),University College Cork (NUI),371,,371
219,CK113,Criminology - 3 years or 4 years (International Pathway),University College Cork (NUI),464,463,456
220,CK114,Social Science (Youth and Community Work),University College Cork (NUI),#,,#
221,CK115,Social Work - Mature Applicants only,University College Cork (NUI),,,
