,Course Code,Course Title,HEI,R1 Points,R2 Points ,EOS Points
609,TU963,Music (audition),Technological University Dublin,364,,364
610,TU965,International Business and Languages,Technological University Dublin,357,,357
611,TU967,Languages and International Tourism,Technological University Dublin,298,,298
612,TU973,Design - Visual Communication (portfolio),Technological University Dublin,700,,700
613,TU974,Fine Art (portfolio),Technological University Dublin,549,,549
614,TU975,Interior Design (portfolio),Technological University Dublin,544,,544
615,TU976,Photography (portfolio),Technological University Dublin,700,,700
616,TU978,Creative Industries and Visual Culture,Technological University Dublin,299,,299
617,TU981,Creative Digital Media,Technological University Dublin,280,,280
618,TU982,Media Production and Digital Arts,Technological University Dublin,369,,369
619,TU983,Film and Broadcasting,Technological University Dublin,462,453,453
620,TU984,Game Design,Technological University Dublin,414,,414
621,TU985,Journalism,Technological University Dublin,367,,367
622,TU989,Early Childhood Care and Education (campus options),Technological University Dublin,270,,270
623,TU991,Applied Social Studies in Social Care,Technological University Dublin,326,,326
624,TU992,Community Development and Youth Work,Technological University Dublin,251,,251
625,TU995,Early Childhood Education,Technological University Dublin,378,,378
626,TU996,Social Care,Technological University Dublin,407,,407
627,TU997,Applied Social Care,Technological University Dublin,320,,320
628,TR002,Music,Trinity College Dublin,508,477,477
629,TR003,History,Trinity College Dublin,552,543,531
630,TR004,Law,Trinity College Dublin,590,589,589
631,TR005,Philosophy,Trinity College Dublin,510,497,456
632,TR006,Psychology,Trinity College Dublin,601,590,578
633,TR007,Clinical Speech and Language Studies,Trinity College Dublin,564,,555
634,TR009,Music Education,Trinity College Dublin,496,486,486
635,TR015,"Philosophy, Political Science, Economics and Sociology",Trinity College Dublin,613,613,613
636,TR016,Deaf Studies,Trinity College Dublin,389,,389
637,TR018,Law and French,Trinity College Dublin,602,602,600
638,TR019,Law and German,Trinity College Dublin,577,567,567
639,TR021,"Classics, Ancient History and Archaeology",Trinity College Dublin,467,462,419
640,TR022,Early and Modern Irish,Trinity College Dublin,377,,377
641,TR023,English Studies,Trinity College Dublin,546,541,533
642,TR024,European Studies,Trinity College Dublin,566,,566
643,TR025,Drama and Theatre Studies,Trinity College Dublin,543,519,509
644,TR028,Ancient and Medieval History and Culture,Trinity College Dublin,498,463,382
645,TR031,Mathematics,Trinity College Dublin,579,578,577
646,TR032,Engineering,Trinity College Dublin,556,555,554
647,TR033,Computer Science,Trinity College Dublin,566,549,543
648,TR034,Management Science and Information Systems Studies,Trinity College Dublin,625,625,625
649,TR035,Theoretical Physics,Trinity College Dublin,590,589,589
650,TR038,Engineering with Management,Trinity College Dublin,589,589,589
651,TR039,"Computer Science, Linguistics and a Language",Trinity College Dublin,443,,443
652,TR040,Middle Eastern and European Languages and Cultures,Trinity College Dublin,520,499,397
653,TR041,Religion,Trinity College Dublin,417,,417
654,TR042,Film,Trinity College Dublin,531,522,518
655,TR043,History of Art and Architecture,Trinity College Dublin,498,486,467
656,TR051,Medicine (HPAT required),Trinity College Dublin,743,743,743
657,TR052,Dental Science,Trinity College Dublin,625,625,625
658,TR053,Physiotherapy,Trinity College Dublin,590,,590
659,TR054,Occupational Therapy,Trinity College Dublin,578,577,577
660,TR055,Radiation Therapy,Trinity College Dublin,577,566,566
661,TR056,Human Health and Disease,Trinity College Dublin,601,,601
662,TR060,Biological and Biomedical Sciences,Trinity College Dublin,578,577,577
663,TR061,Chemical Sciences,Trinity College Dublin,558,554,542
664,TR062,Geography and Geoscience,Trinity College Dublin,495,,490
665,TR063,Physical Sciences,Trinity College Dublin,554,543,521
666,TR064,Environmental Science and Engineering,Trinity College Dublin,555,,555
667,TR072,Pharmacy,Trinity College Dublin,613,613,613
668,TR080,Global Business,Trinity College Dublin,613,,613
669,TR081,"Business, Economic and Social Studies (BESS)",Trinity College Dublin,577,567,566
670,TR084,Social Studies (Social Work),Trinity College Dublin,497,487,484
671,TR085,Business Studies and French,Trinity College Dublin,564,,564
672,TR086,Business Studies and German,Trinity College Dublin,530,,530
673,TR087,Business Studies and Russian,Trinity College Dublin,487,,487
674,TR089,Business Studies and Polish,Trinity College Dublin,391,,391
675,TR090,Business Studies and Spanish,Trinity College Dublin,566,,566
676,TR091,General Nursing (Meath and St James`s),Trinity College Dublin,462,456,454
677,TR093,General Nursing (Adelaide School of Nursing),Trinity College Dublin,473,,473
678,TR095,Mental Health Nursing,Trinity College Dublin,442,,432
679,TR097,Intellectual Disability Nursing,Trinity College Dublin,412,410,401
680,TR111,Ancient History and Archaeology/Geography,Trinity College Dublin,496,,509
681,TR112,Ancient History and Archaeology/History,Trinity College Dublin,577,,577
682,TR113,Ancient History and Archaeology/History of Art and Architecture,Trinity College Dublin,528,,528
683,TR114,Ancient History and Archaeology/Modern Language,Trinity College Dublin,507,,507
684,TR117,Ancient History and Archaeology/Religion,Trinity College Dublin,494,,494
685,TR166,Classical Civilisation/English Literature,Trinity College Dublin,552,,552
686,TR173,Classical Civilisation/History of Art and Architecture,Trinity College Dublin,420,,420
687,TR177,Classical Civilisation/Modern Language,Trinity College Dublin,484,,484
688,TR179,Classical Civilisation/Philosophy,Trinity College Dublin,508,,521
689,TR188,Computer Science/Business Studies,Trinity College Dublin,584,,584
690,TR198,Economics/Geography,Trinity College Dublin,968,956,954
691,TR202,Economics/History,Trinity College Dublin,601,,601
692,TR207,Economics/Mathematics,Trinity College Dublin,613,,613
693,TR208,Economics/Modern Language,Trinity College Dublin,589,,589
694,TR209,Economics/Philosophy,Trinity College Dublin,588,,589
695,TR212,Economics/Sociology,Trinity College Dublin,589,,589
696,TR214,Social Policy/Economics,Trinity College Dublin,611,,611
697,TR228,Classical Languages/English Literature,Trinity College Dublin,555,,555
698,TR230,Classical Languages/Linguistics,Trinity College Dublin,501,,501
699,TR231,Classical Languages/History of Art and Architecture,Trinity College Dublin,613,,613
700,TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",Trinity College Dublin,583,,583
701,TR239,Classical Languages/Modern Language,Trinity College Dublin,543,,543
702,TR240,Computer Science/Geography,Trinity College Dublin,482,,482
703,TR241,Computer Science/Linguistics,Trinity College Dublin,495,,495
704,TR262,English Literature/History,Trinity College Dublin,576,,576
705,TR263,English Literature/History of Art and Architecture,Trinity College Dublin,571,,571
706,TR269,English Literature/Philosophy,Trinity College Dublin,555,,555
707,TR272,English Literature/Sociology,Trinity College Dublin,553,,553
708,TR276,English Literature/Drama Studies,Trinity College Dublin,555,,555
709,TR277,English Literature/Modern Language,Trinity College Dublin,554,,554
710,TR311,Film/Drama Studies,Trinity College Dublin,578,,578
711,TR312,Film/English Literature,Trinity College Dublin,576,,576
712,TR320,Film/Music,Trinity College Dublin,584,,584
713,TR322,Geography/History,Trinity College Dublin,578,,613
714,TR323,Drama Studies/Modern Language,Trinity College Dublin,495,,495
715,TR324,Film/Modern Language,Trinity College Dublin,577,,577
716,TR325,Film/History,Trinity College Dublin,578,,613
717,TR326,Geography/Modern Language,Trinity College Dublin,451,,451
718,TR328,Political Science/Geography,Trinity College Dublin,564,,564
719,TR332,Geography/Sociology,Trinity College Dublin,522,,522
720,TR443,History/History of Art and Architecture,Trinity College Dublin,581,,581
721,TR447,History/Modern Language,Trinity College Dublin,576,,576
722,TR449,History/Philosophy,Trinity College Dublin,579,,579
723,TR454,History/Religion,Trinity College Dublin,,,
724,TR455,History of Art and Architecture/Modern Language,Trinity College Dublin,451,,451
725,TR457,History/Political Science,Trinity College Dublin,576,,576
726,TR479,History of Art and Architecture/Philosophy,Trinity College Dublin,509,,519
727,TR482,Sociology/History of Art and Architecture,Trinity College Dublin,522,,522
728,TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",Trinity College Dublin,543,,543
729,TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",Trinity College Dublin,544,,544
730,TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",Trinity College Dublin,576,,576
731,TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",Trinity College Dublin,590,,590
732,TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",Trinity College Dublin,,,
733,TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",Trinity College Dublin,999,949,949
734,TR580,Business Studies/Law,Trinity College Dublin,625,,625
735,TR581,History/Law,Trinity College Dublin,625,,625
736,TR582,Political Science/Law,Trinity College Dublin,625,,625
737,TR587,"Middle Eastern,Jewish and Islamic Civilisations/Linguistics",Trinity College Dublin,,,
738,TR588,Linguistics/Modern Language,Trinity College Dublin,456,,456
739,TR589,Linguistics/Philosophy,Trinity College Dublin,520,,520
740,TR592,"Sociology/Middle Eastern,Jewish and Islamic Civilisations",Trinity College Dublin,531,,531
741,TR597,Mathematics/Modern Language,Trinity College Dublin,613,,613
742,TR598,Mathematics/Music,Trinity College Dublin,625,,625
743,TR599,Mathematics/Philosophy,Trinity College Dublin,625,,625
744,TR629,Music/Philosophy,Trinity College Dublin,533,,533
745,TR635,Music/Drama Studies,Trinity College Dublin,532,,532
746,TR636,Music/Modern Language,Trinity College Dublin,530,,530
747,TR638,Music/Religion,Trinity College Dublin,,,
748,TR639,Philosophy/Modern Language,Trinity College Dublin,520,,520
749,TR662,Philosophy/Sociology,Trinity College Dublin,531,,531
750,TR663,Religion/Classical Civilisation,Trinity College Dublin,418,,418
751,TR664,Religion/English Literature,Trinity College Dublin,968,,966
752,TR665,Religion/History of Art and Architecture,Trinity College Dublin,369,,369
753,TR666,Religion/Modern Language,Trinity College Dublin,,,
754,TR667,French/Modern Language,Trinity College Dublin,466,,466
755,TR668,German/Modern Language,Trinity College Dublin,441,,441
756,TR669,Irish/Modern Language,Trinity College Dublin,464,,464
757,TR670,Italian/Modern Language,Trinity College Dublin,462,,462
758,TR671,Russian/Modern Language,Trinity College Dublin,501,,501
759,TR672,Spanish/Modern Language,Trinity College Dublin,486,,486
760,TR756,Sociology/Modern Language,Trinity College Dublin,522,,522
761,TR757,Modern Language/Social Policy,Trinity College Dublin,555,,555
762,TR758,Social Policy/Political Science,Trinity College Dublin,566,,566
763,TR759,Sociology/Social Policy,Trinity College Dublin,554,,554
767,TR911,Children`s and General Nursing (Integrated),Trinity College Dublin,531,,529
768,TR913,Midwifery,Trinity College Dublin,521,,520
769,DN100,Architecture,University College Dublin (NUI),555,,553
770,DN120,Landscape Architecture,University College Dublin (NUI),463,435,430
771,DN130,City Planning and Environmental Policy,University College Dublin (NUI),445,424,420
772,DN150,Engineering (Common Entry),University College Dublin (NUI),565,,556
773,DN200,Science (options),University College Dublin (NUI),577,567,566
774,DN201,Computer Science (Common Entry),University College Dublin (NUI),554,549,542
775,DN230,Actuarial and Financial Studies,University College Dublin (NUI),613,613,613
776,DN240,Sustainability,University College Dublin (NUI),510,,506
777,DN250,Agricultural Science (options),University College Dublin (NUI),454,444,440
778,DN261,Food Science,University College Dublin (NUI),531,,522
779,DN262,Human Nutrition,University College Dublin (NUI),566,,566
780,DN300,Veterinary Medicine - Undergraduate Entry,University College Dublin (NUI),601,,601
781,DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),University College Dublin (NUI),#,,#
782,DN310,Veterinary Nursing,University College Dublin (NUI),521,509,486
783,DN400,Medicine - Undergraduate Entry (HPAT required),University College Dublin (NUI),743,,743
784,DN401,Medicine - Graduate Entry (GAMSAT required),University College Dublin (NUI),61,,61
785,DN410,Radiography,University College Dublin (NUI),566,566,565
786,DN411,Radiography - Graduate Entry,University College Dublin (NUI),#,,#
787,DN420,Physiotherapy,University College Dublin (NUI),601,601,601
788,DN425,Health and Performance Science,University College Dublin (NUI),544,543,541
789,DN430,Sport and Exercise Management,University College Dublin (NUI),484,476,473
790,DN440,"Biomedical, Health and Life Sciences",University College Dublin (NUI),613,613,613
791,DN450,General Nursing,University College Dublin (NUI),462,,462
792,DN451,Children`s and General Nursing (Integrated),University College Dublin (NUI),533,,532
793,DN452,Midwifery,University College Dublin (NUI),510,509,507
794,DN453,Mental Health Nursing,University College Dublin (NUI),442,,441
795,DN520,Joint Honours (options),University College Dublin (NUI),381,378,356
796,DN530,Humanities (options),University College Dublin (NUI),397,388,359
797,DN541,Modern Languages (options),University College Dublin (NUI),320,,320
798,DN600,Law (options),University College Dublin (NUI),576,567,566
799,DN610,Business and Law,University College Dublin (NUI),573,567,566
800,DN650,Commerce,University College Dublin (NUI),555,,554
801,DN660,Commerce International (options),University College Dublin (NUI),555,554,554
802,DN670,Economics and Finance,University College Dublin (NUI),625,625,625
803,DN700,Social Sciences (options),University College Dublin (NUI),475,474,463
804,DN710,Economics,University College Dublin (NUI),534,532,522
805,DN720,Psychology,University College Dublin (NUI),566,564,555
806,DN750,Social Policy and Sociology,University College Dublin (NUI),421,,408
830,DK810,Accounting and Finance,Dundalk Institute of Technology,307,307,307
831,DK816,Business Studies,Dundalk Institute of Technology,301,301,301
832,DK820,Computing in Games Development,Dundalk Institute of Technology,309,309,309
833,DK821,Computing in Software Development,Dundalk Institute of Technology,320,316,307
834,DK822,Augmented and Virtual Reality,Dundalk Institute of Technology,320,320,307
835,DK830,Building Surveying,Dundalk Institute of Technology,305,,305
836,DK831,Architectural Technology,Dundalk Institute of Technology,368,314,314
837,DK832,Construction Management,Dundalk Institute of Technology,358,305,305
838,DK843,Engineering (Common Entry),Dundalk Institute of Technology,404,391,391
839,DK844,Mechanical Engineering,Dundalk Institute of Technology,336,336,336
840,DK845,Electrical and Electronic Engineering,Dundalk Institute of Technology,331,331,331
841,DK846,Civil Engineering,Dundalk Institute of Technology,371,371,371
842,DK850,International Tourism Management,Dundalk Institute of Technology,303,303,303
843,DK861,Arts,Dundalk Institute of Technology,302,302,300
844,DK862,Social Care,Dundalk Institute of Technology,322,319,301
845,DK863,Creative Media,Dundalk Institute of Technology,336,320,309
846,DK864,Film and Television Production,Dundalk Institute of Technology,308,,308
847,DK865,Audio and Music Production,Dundalk Institute of Technology,352,,308
848,DK870,General Nursing,Dundalk Institute of Technology,440,440,433
849,DK872,Intellectual Disability Nursing,Dundalk Institute of Technology,367,366,347
850,DK874,Mental Health Nursing,Dundalk Institute of Technology,398,,391
851,DK876,Early Childhood Studies,Dundalk Institute of Technology,300,300,300
852,DK877,Midwifery,Dundalk Institute of Technology,482,477,470
853,DK880,Health and Physical Activity,Dundalk Institute of Technology,301,301,300
854,DK882,Agriculture (Award options),Dundalk Institute of Technology,342,,342
855,DK883,Science (Award options),Dundalk Institute of Technology,373,368,302
856,DK884,Sustainable Agriculture,Dundalk Institute of Technology,348,,348
857,DK885,Agri-Food Production,Dundalk Institute of Technology,,,
858,DK886,Biopharmaceutical Science,Dundalk Institute of Technology,379,,347
859,DK887,Environmental Science,Dundalk Institute of Technology,377,,377
867,GA181,Accounting,Galway-Mayo Institute of Technology,303,,303
868,GA182,Business,Galway-Mayo Institute of Technology,285,,285
869,GA183,Business Information Systems,Galway-Mayo Institute of Technology,298,,298
870,GA184,Marketing and Sales,Galway-Mayo Institute of Technology,300,,300
871,GA185,Finance and Economics,Galway-Mayo Institute of Technology,318,,318
872,GA186,Business with Entrepreneurship,Galway-Mayo Institute of Technology,287,,287
873,GA187,Rural Enterprise and Agri-Business,Galway-Mayo Institute of Technology,291,,291
877,GA281,Film and Documentary,Galway-Mayo Institute of Technology,310,301,301
878,GA282,Heritage Studies,Galway-Mayo Institute of Technology,252,,252
879,GA283,Contemporary Art (portfolio),Galway-Mayo Institute of Technology,790,,790
880,GA284,Design,Galway-Mayo Institute of Technology,331,,331
881,GA285,"Education (Art, Design and Graphics)",Galway-Mayo Institute of Technology,406,,406
890,GA380,International Hotel Management,Galway-Mayo Institute of Technology,218,,218
891,GA381,International Tourism Management,Galway-Mayo Institute of Technology,252,,252
892,GA382,Culinary and Gastronomic Science,Galway-Mayo Institute of Technology,235,,235
893,GA384,Event Management with Public Relations,Galway-Mayo Institute of Technology,230,,230
898,GA480,Construction Management,Galway-Mayo Institute of Technology,302,,302
899,GA482,Quantity Surveying and Construction Economics,Galway-Mayo Institute of Technology,304,,304
900,GA483,Architectural Technology,Galway-Mayo Institute of Technology,281,273,273
901,GA484,Civil Engineering,Galway-Mayo Institute of Technology,377,,377
903,GA580,Software and Electronic Engineering,Galway-Mayo Institute of Technology,300,,300
910,GA680,Mechanical Engineering,Galway-Mayo Institute of Technology,400,,400
911,GA681,Energy Engineering,Galway-Mayo Institute of Technology,312,,312
912,GA682,Biomedical Engineering,Galway-Mayo Institute of Technology,331,,331
913,GA683,Agricultural Engineering,Galway-Mayo Institute of Technology,304,,304
914,GA684,Engineering Common Entry to Manu/Agri/Biomed/Energy/Mech Eng,Galway-Mayo Institute of Technology,413,,413
915,GA685,Manufacturing Engineering Design,Galway-Mayo Institute of Technology,336,,336
924,GA780,Applied Freshwater and Marine Biology,Galway-Mayo Institute of Technology,366,,366
925,GA781,Applied Biology and Biopharmaceutical Science,Galway-Mayo Institute of Technology,381,,381
926,GA782,Chemical and Pharmaceutical Science,Galway-Mayo Institute of Technology,356,,356
927,GA783,Physics and Instrumentation,Galway-Mayo Institute of Technology,301,,301
928,GA784,Science (Undenominated),Galway-Mayo Institute of Technology,445,,445
929,GA785,Medical Science,Galway-Mayo Institute of Technology,517,510,510
930,GA786,Forensic Science and Analysis,Galway-Mayo Institute of Technology,408,408,408
931,GA787,Computing in Software Development,Galway-Mayo Institute of Technology,310,,310
932,GA788,Computing and Digital Media,Galway-Mayo Institute of Technology,270,,270
933,GA789,Agriculture and Environmental Management,Galway-Mayo Institute of Technology,340,,340
934,GA790,Sport and Exercise Science,Galway-Mayo Institute of Technology,376,366,366
935,GA791,Public Health Nutrition,Galway-Mayo Institute of Technology,368,,368
943,GA880,General Nursing,Galway-Mayo Institute of Technology,440,,440
944,GA882,Psychiatric Nursing,Galway-Mayo Institute of Technology,369,,369
945,GA885,Outdoor Education,Galway-Mayo Institute of Technology,269,,269
946,GA887,History and Geography,Galway-Mayo Institute of Technology,201,,201
947,GA889,Applied Social Care,Galway-Mayo Institute of Technology,265,,265
948,GA890,Early Childhood Education and Care,Galway-Mayo Institute of Technology,281,227,227
949,GA891,Geography and Outdoor Education,Galway-Mayo Institute of Technology,261,,261
950,GA892,Community Development and Youth Work (Level 8),Galway-Mayo Institute of Technology,,,
955,GA980,Education (Design Graphics and Construction),Galway-Mayo Institute of Technology,410,,410
956,GA981,Furniture Design and Manufacture,Galway-Mayo Institute of Technology,346,,346
957,GA982,Furniture Making and Architectural Woodworking,Galway-Mayo Institute of Technology,360,,360
958,GA983,Furniture and Digital Manufacturing,Galway-Mayo Institute of Technology,,,
959,GA984,"Furniture Design, Making and Technology - Common Entry",Galway-Mayo Institute of Technology,486,467,467
960,GY101,Arts (Joint-Honours),"National University of Ireland, Galway",327,326,326
961,GY104,BSc (Psychology),"National University of Ireland, Galway",564,555,545
962,GY105,Arts (History),"National University of Ireland, Galway",357,,357
963,GY109,Arts (Mathematics and Education),"National University of Ireland, Galway",413,,413
964,GY110,Arts (Children and Youth Studies - options),"National University of Ireland, Galway",387,,387
965,GY111,Arts (English and Creative Writing),"National University of Ireland, Galway",421,420,420
966,GY113,Arts with Human Rights,"National University of Ireland, Galway",413,,413
967,GY115,Arts with Performing Arts Studies,"National University of Ireland, Galway",300,,300
968,GY118,"Arts (Drama, Theatre and Performance Studies)","National University of Ireland, Galway",453,430,430
969,GY119,Arts (Journalism),"National University of Ireland, Galway",484,473,473
970,GY122,Na Dána (Cumarsáid agus Gaeilge),"National University of Ireland, Galway",410,,410
971,GY123,Applied Social Sciences,"National University of Ireland, Galway",419,,419
972,GY125,Arts (Digital Arts and Technology),"National University of Ireland, Galway",403,,403
973,GY127,Arts (Film and Digital Media),"National University of Ireland, Galway",430,421,421
974,GY128,Arts (Global Languages),"National University of Ireland, Galway",346,,346
975,GY129,Arts (Global Experience),"National University of Ireland, Galway",465,,465
976,GY130,Arts (Music),"National University of Ireland, Galway",462,,462
977,GY132,"Government (Politics, Economics and Law)","National University of Ireland, Galway",465,451,451
978,GY133,Education (Computer Science and Mathematical Studies),"National University of Ireland, Galway",454,,454
979,GY134,Geography and Geosystems,"National University of Ireland, Galway",425,,425
980,GY135,Arts (Global Media),"National University of Ireland, Galway",442,,442
981,GY136,Na Dána (Léann Teanga - options),"National University of Ireland, Galway",526,,526
982,GY201,Commerce,"National University of Ireland, Galway",476,,476
983,GY202,Commerce (International) with French,"National University of Ireland, Galway",520,,520
984,GY203,Commerce (International) with German,"National University of Ireland, Galway",518,,518
985,GY204,Commerce (International) with Spanish,"National University of Ireland, Galway",506,,506
986,GY206,Business Information Systems (Work Placement and Optional Int`l Study),"National University of Ireland, Galway",509,,509
987,GY207,Commerce (Accounting) including optional Global Experience year,"National University of Ireland, Galway",543,,543
988,GY208,Commerce (Gaeilge),"National University of Ireland, Galway",508,,508
989,GY209,Commerce (Global Experience),"National University of Ireland, Galway",551,,551
990,GY250,Law and Business,"National University of Ireland, Galway",510,,510
991,GY251,Law (BCL),"National University of Ireland, Galway",542,,542
992,GY252,Law (BCL) and Human Rights,"National University of Ireland, Galway",565,,565
993,GY253,Law and Taxation,"National University of Ireland, Galway",506,,506
994,GY254,"Law (BCL), Criminology and Criminal Justice","National University of Ireland, Galway",548,,548
995,GY261,Business Studies in International Hotel Management (interview),"National University of Ireland, Galway",503,,503
996,GY262,Commerce in International Hotel Management (interview),"National University of Ireland, Galway",709,,709
997,GY301,Science,"National University of Ireland, Galway",489,488,488
998,GY303,Biomedical Science,"National University of Ireland, Galway",613,,613
999,GY304,Biotechnology,"National University of Ireland, Galway",498,495,495
1000,GY308,Environmental Science,"National University of Ireland, Galway",431,430,430
1001,GY309,Financial Mathematics and Economics,"National University of Ireland, Galway",509,,509
1002,GY310,Marine Science,"National University of Ireland, Galway",467,,467
1003,GY313,Environmental Health and Safety,"National University of Ireland, Galway",412,,412
1004,GY314,Earth and Ocean Sciences,"National University of Ireland, Galway",422,,422
1005,GY318,Biopharmaceutical Chemistry,"National University of Ireland, Galway",555,,555
1006,GY319,Mathematical Science,"National University of Ireland, Galway",543,,543
1007,GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)","National University of Ireland, Galway",465,,465
1008,GY321,Genetics and Genomics,"National University of Ireland, Galway",532,,532
1009,GY322,Agricultural Sciences,"National University of Ireland, Galway",485,,485
1010,GY350,Computer Science and Information Technology,"National University of Ireland, Galway",495,,495
1011,GY401,Engineering (Undenominated),"National University of Ireland, Galway",522,520,520
1012,GY402,Civil Engineering,"National University of Ireland, Galway",533,521,521
1013,GY405,Mechanical Engineering,"National University of Ireland, Galway",541,,541
1014,GY406,Electronic and Computer Engineering,"National University of Ireland, Galway",555,,555
1015,GY408,Biomedical Engineering,"National University of Ireland, Galway",554,,554
1016,GY410,Project and Construction Management,"National University of Ireland, Galway",431,,431
1017,GY413,Energy Systems Engineering,"National University of Ireland, Galway",509,,509
1018,GY414,Electrical and Electronic Engineering,"National University of Ireland, Galway",433,,433
1019,GY501,"Medicine (five year/six year course, HPAT required)","National University of Ireland, Galway",737,737,737
1020,GY502,Occupational Therapy,"National University of Ireland, Galway",601,,601
1021,GY503,Speech and Language Therapy,"National University of Ireland, Galway",578,,578
1022,GY504,Podiatric Medicine,"National University of Ireland, Galway",531,526,510
1023,GY515,General Nursing (Galway and Portiuncula),"National University of Ireland, Galway",502,496,476
1024,GY516,Mental Health Nursing,"National University of Ireland, Galway",475,441,412
1025,GY517,Midwifery,"National University of Ireland, Galway",520,509,507
1028,LY108,Business - Accounting,Letterkenny Institute of Technology,312,,312
1029,LY118,Business,Letterkenny Institute of Technology,288,,288
1030,LY128,Marketing with Online Technologies,Letterkenny Institute of Technology,261,261,261
1033,LY208,Law,Letterkenny Institute of Technology,300,290,290
1034,LY228,Sports and Exercise - Common Entry,Letterkenny Institute of Technology,290,,290
1037,LY408,Design - Common Entry,Letterkenny Institute of Technology,301,,301
1043,LY508,Fire Safety Engineering,Letterkenny Institute of Technology,283,,283
1044,LY518,Quantity Surveying,Letterkenny Institute of Technology,304,,304
1046,LY528,Construction Management,Letterkenny Institute of Technology,262,,262
1047,LY538,Architectural Technology,Letterkenny Institute of Technology,234,234,234
1050,LY608,Mechanical Engineering,Letterkenny Institute of Technology,300,,300
1052,LY618,Electronic Engineering,Letterkenny Institute of Technology,321,,321
1054,LY708,Applied Computing,Letterkenny Institute of Technology,320,,320
1057,LY748,Computer Science,Letterkenny Institute of Technology,316,,316
1061,LY818,Science - Common Entry,Letterkenny Institute of Technology,302,,302
1063,LY828,Agriculture - Common Entry,Letterkenny Institute of Technology,308,300,300
1071,LY908,General Nursing,Letterkenny Institute of Technology,429,,429
1073,LY918,Psychiatric Nursing,Letterkenny Institute of Technology,367,,361
1074,LY928,Intellectual Disability Nursing,Letterkenny Institute of Technology,357,,342
1075,LY968,"Early Childhood Care, Health and Education",Letterkenny Institute of Technology,288,,288
1076,LY978,Health and Social Care - Common Entry,Letterkenny Institute of Technology,279,,279
1077,MI001,Contemporary and Applied Theatre Studies,Mary Immaculate College,209,,209
1078,MI002,Arts,Mary Immaculate College,280,,280
1079,MI004,Education - Primary Teaching - International,Mary Immaculate College,589,,589
1080,MI005,Education - Primary Teaching,Mary Immaculate College,522,,522
1081,MI006,Education - Primary Teaching - Gaeltacht Applicants,Mary Immaculate College,485,,485
1082,MI007,Early Childhood Care and Education,Mary Immaculate College,409,,409
1083,MI008,Education and Psychology - Primary Teaching,Mary Immaculate College,590,,590
1084,MI009,"Education, Business Studies and Accounting",Mary Immaculate College,434,,434
1085,MI010,"Education, Business Studies and Religious Studies",Mary Immaculate College,370,,370
1086,MI011,"Education, Gaeilge and Religious Studies",Mary Immaculate College,407,,407
1087,MI012,"Education, Gaeilge and Business Studies",Mary Immaculate College,387,,387
1088,MI013,"Education, Mathematics and Gaeilge",Mary Immaculate College,509,,509
1089,MI014,"Education, Mathematics and Business Studies",Mary Immaculate College,476,,476
1090,CI110,Counselling and Psychotherapy,Irish College of Humanities & Applied Sciences,292,,292
1091,CI111,Counselling and Psychotherapy with Addiction Studies,Irish College of Humanities & Applied Sciences,290,,290
1092,CI112,Counselling and Psychotherapy with Youth Studies,Irish College of Humanities & Applied Sciences,325,,325
1093,LC110,"Art and Design (Common Entry, portfolio)",Limerick Institute of Technology,794,,794
1094,LC114,Fashion and Textiles for Product and Costume (portfolio),Limerick Institute of Technology,914,,914
1095,LC115,"Art and Design Teacher Education (LIT and UL, portfolio)",Limerick Institute of Technology,993,,993
1096,LC220,Digital Marketing,Limerick Institute of Technology,263,,263
1099,LC223,Law and Taxation,Limerick Institute of Technology,331,,331
1100,LC224,Accounting and Finance,Limerick Institute of Technology,300,,300
1101,LC225,Marketing and Management,Limerick Institute of Technology,298,,298
1102,LC226,Enterprise and Innovation,Limerick Institute of Technology,255,,255
1105,LC233,Software Development,Limerick Institute of Technology,280,,280
1106,LC234,Immersive Digital Media and Spatial Computing,Limerick Institute of Technology,226,,226
1108,LC236,Internet Systems Development,Limerick Institute of Technology,260,,260
1109,LC239,Computer Networks and Systems Management,Limerick Institute of Technology,317,,317
1110,LC241,Construction Management,Limerick Institute of Technology,326,,326
1111,LC242,Property Valuation and Management,Limerick Institute of Technology,308,,308
1112,LC243,Quantity Surveying,Limerick Institute of Technology,278,,278
1113,LC248,Built Environment (Common Entry),Limerick Institute of Technology,300,,300
1115,LC252,Civil Engineering Management,Limerick Institute of Technology,264,,264
1117,LC263,Medical Technology,Limerick Institute of Technology,391,,391
1118,LC265,Forensic and Pharmaceutical Sciences,Limerick Institute of Technology,498,,498
1119,LC266,Drug and Medicinal Product Analysis,Limerick Institute of Technology,252,,252
1124,LC275,Electrical Engineering,Limerick Institute of Technology,361,347,347
1134,LC288,Mechanical Engineering,Limerick Institute of Technology,378,369,369
1135,LC289,Precision Engineering,Limerick Institute of Technology,261,,261
