,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v
29,Information and Communication Technologies (ICTs),Software Design for Virtual Reality and Gaming,AL801,300,,,,300,,359,8,Athlone Institute of Technology,,,
30,Information and Communication Technologies (ICTs),Software Design in Artificial Intelligence for Cloud Computing,AL802,313,,,,313,,381,8,Athlone Institute of Technology,,,
31,Information and Communication Technologies (ICTs),Software Design for Mobile Apps and Connected Devices,AL803,350,,,,350,,398,8,Athlone Institute of Technology,,,
32,Information and Communication Technologies (ICTs),Computer Engineering for Network Infrastructure,AL805,321,,,,321,,381,8,Athlone Institute of Technology,,,
33,Architecture and construction,Quantity Surveying,AL810,328,,,,328,,377,8,Athlone Institute of Technology,,,
34,Architecture and construction,Civil Engineering,AL811,,,,,,,0,8,Athlone Institute of Technology,,,
35,Manufacturing and processing,Mechanical and Polymer Engineering,AL820,327,,,,327,,398,8,Athlone Institute of Technology,,,
36,Health,General Nursing,AL830,451,*,444,,440,,455,8,Athlone Institute of Technology,,,
37,Health,Mental Health Nursing,AL832,440,*,431,,431,,451,8,Athlone Institute of Technology,,,
38,Biological and related sciences,Pharmacology,AL835,356,,,,356,,429,8,Athlone Institute of Technology,,,
39,Health,Nutrition and Health Science,AL836,346,,,,346,,398,8,Athlone Institute of Technology,,,
40,Personal services,Sports Science with Exercise Physiology,AL837,357,,,,357,,409,8,Athlone Institute of Technology,,,
41,Biological and related sciences,Biotechnology,AL838,324,,,,324,,434,8,Athlone Institute of Technology,,,
42,Biological and related sciences,Microbiology,AL839,325,,,,325,,408,8,Athlone Institute of Technology,,,
43,Physical sciences,Pharmaceutical Sciences,AL840,346,,,,346,,402,8,Athlone Institute of Technology,,,
44,Health,Athletic and Rehabilitation Therapy,AL841,477,,476,*,462,,489,8,Athlone Institute of Technology,,,
45,Biological and related sciences,Bioveterinary Science,AL842,338,,,,338,,413,8,Athlone Institute of Technology,,,
46,Health,Physical Activity and Health Science,AL843,306,,,,306,,358,8,Athlone Institute of Technology,,,
47,Personal services,Culinary Entrepreneurship,AL849,297,,,,297,,327,8,Athlone Institute of Technology,,,
48,Business and administration,Business,AL850,309,,,,309,,369,8,Athlone Institute of Technology,,,
49,Law,Business and Law,AL851,302,,,,302,,357,8,Athlone Institute of Technology,,,
50,Business and administration,Accounting,AL852,336,,,,336,,466,8,Athlone Institute of Technology,,,
51,Personal services,Sport Management (with international placement),AL854,300,,299,,299,,349,8,Athlone Institute of Technology,,,
52,Personal services,Hospitality Management (with international placement),AL855,309,,,,309,,378,8,Athlone Institute of Technology,,,
53,Business and administration,Digital Marketing,AL857,304,,,,304,,398,8,Athlone Institute of Technology,,,
54,Business and administration,International Business,AL859,308,,,,308,,371,8,Athlone Institute of Technology,,,
55,Welfare,Social Care Practice,AL860,301,,,,301,,359,8,Athlone Institute of Technology,,,
56,Arts,Animation and Illustration (portfolio),AL861,575,,,,575,,760,8,Athlone Institute of Technology,#,,
57,Arts,Graphic and Digital Design (portfolio),AL863,747,,,,747,,808,8,Athlone Institute of Technology,#,,
58,Welfare,Early Years Care and Education,AL864,306,,,,306,,366,8,Athlone Institute of Technology,,,
59,Social and behavioural sciences,Applied Psychology,AL870,484,*,467,*,452,,480,8,Athlone Institute of Technology,,,
61,Business and administration,Business (options),CW018,307,,,,307,,381,8,"Institute of Technology, Carlow",,,
63,Welfare,Early Childhood Education and Care,CW028,260,,,,260,,378,8,"Institute of Technology, Carlow",,,
65,Arts,Art (portfolio),CW038,#700,,,,700,,700,8,"Institute of Technology, Carlow",#,,
67,Information and Communication Technologies (ICTs),Creative Computing and Digital Innovation,CW048,,,,,,,0,8,"Institute of Technology, Carlow",,,
69,Personal services,Tourism and Event Management,CW058,292,,,,292,,356,8,"Institute of Technology, Carlow",,,
70,Welfare,Applied Social Studies in Professional Social Care,CW068,250,,,,250,,306,8,"Institute of Technology, Carlow",,,
72,Agriculture,Sustainable Farm Management and Agribusiness,CW078,270,,,,270,,363,8,"Institute of Technology, Carlow",,,
74,Arts,Visual Communications and Design,CW088,270,,,,270,,290,8,"Institute of Technology, Carlow",,,
77,Biological and related sciences,Science (options),CW108,266,,,,266,,361,8,"Institute of Technology, Carlow",,,
81,Manufacturing and processing,Brewing and Distilling,CW128,307,,,,307,,349,8,"Institute of Technology, Carlow",,,
82,Personal services,Sport and Exercise Science,CW138,430,,423,,423,,462,8,"Institute of Technology, Carlow",,,
83,Personal services,Strength and Conditioning,CW148,388,,,,388,,409,8,"Institute of Technology, Carlow",,,
84,Health,Sport Rehabilitation and Athletic Therapy,CW188,451,,,,451,,488,8,"Institute of Technology, Carlow",,,
87,Information and Communication Technologies (ICTs),Computer Games Development,CW208,272,,,,272,,333,8,"Institute of Technology, Carlow",,,
91,Information and Communication Technologies (ICTs),Software Development,CW238,295,,,,295,,387,8,"Institute of Technology, Carlow",,,
92,Information and Communication Technologies (ICTs),Information Technology Management,CW248,293,,,,293,,338,8,"Institute of Technology, Carlow",,,
93,Information and Communication Technologies (ICTs),Cybercrime and IT Security,CW258,292,,,,292,,382,8,"Institute of Technology, Carlow",,,
94,Information and Communication Technologies (ICTs),Computing in Interactive Digital Art and Design,CW268,291,,,,291,,384,8,"Institute of Technology, Carlow",,,
98,Architecture and construction,Construction (options),CW438,260,,251,,251,,336,8,"Institute of Technology, Carlow",,,
99,Architecture and construction,Architectural Technology,CW468,291,,283,,283,,353,8,"Institute of Technology, Carlow",,,
100,Architecture and construction,Civil Engineering,CW478,465,,,,465,,465,8,"Institute of Technology, Carlow",,,
105,Engineering and engineering trades,Mechanical Engineering,CW548,330,,328,,328,,396,8,"Institute of Technology, Carlow",,,
106,Engineering and engineering trades,Electronic Systems,CW558,280,,,,280,,380,8,"Institute of Technology, Carlow",,,
107,Engineering and engineering trades,Aerospace Engineering,CW568,371,,359,,359,,433,8,"Institute of Technology, Carlow",,,
108,Arts,TV and Media Production,CW578,318,,,,318,,358,8,"Institute of Technology, Carlow",,,
111,Law,Law - LLB,CW708,292,,,,292,,390,8,"Institute of Technology, Carlow",,,
113,Arts,Product Design Innovation,CW728,246,,,,246,,370,8,"Institute of Technology, Carlow",,,
114,Welfare,Early Childhood Education and Care,CW748,290,,,,290,,377,8,"Institute of Technology, Carlow",,,
115,Welfare,Professional Social Care Practice,CW758,360,,358,,358,,397,8,"Institute of Technology, Carlow",,,
117,Business and administration,Media and Public Relations,CW808,247,,,,247,,316,8,"Institute of Technology, Carlow",,,
121,Business and administration,Digital Marketing with Analytics,CW848,269,,,,269,,336,8,"Institute of Technology, Carlow",,,
122,Personal services,"Sports Management and Coaching (options, portfolio)",CW858,700,,,,700,,700,8,"Institute of Technology, Carlow",#,,
124,Business and administration,Business (options),CW908,272,,,,272,,348,8,"Institute of Technology, Carlow",,,
128,Business and administration,Business with Law,CW938,270,,,,270,,382,8,"Institute of Technology, Carlow",,,
129,Business and administration,Accounting,CW948,319,,,,319,,454,8,"Institute of Technology, Carlow",,,
132,Social and behavioural sciences,"Social, Political and Community Studies",PC405,263,,235,,235,,298,8,"Carlow College, St. Patrick`s",,avp,
133,Humanities (except languages),Arts and Humanities (fulfils Teaching Council requirements),PC410,262,,230,,230,,336,8,"Carlow College, St. Patrick`s",,avp,
134,Humanities (except languages),English and History (fulfils Teaching Council requirements),PC411,243,,224,,224,,356,8,"Carlow College, St. Patrick`s",,avp,
159,Engineering and engineering trades,Chemical and Biopharmaceutical Engineering,CR105,443,,,,443,,532,8,Cork Institute of Technology,,,
160,Information and Communication Technologies (ICTs),Software Development,CR106,431,,,,431,,476,8,Cork Institute of Technology,,,
161,Engineering and engineering trades,Mechanical Engineering,CR108,434,,,,434,,509,8,Cork Institute of Technology,,,
162,Architecture and construction,Structural Engineering,CR109,396,,,,396,,465,8,Cork Institute of Technology,,,
163,Transport services,Automotive Business Management and Technology,CR110,336,,,,336,,388,8,Cork Institute of Technology,,,
164,Arts,Creative Digital Media at CIT Crawford College of Art and Design,CR112,390,,,,390,,455,8,Cork Institute of Technology,,,
165,Information and Communication Technologies (ICTs),Computer Systems,CR116,365,,,,365,,400,8,Cork Institute of Technology,,,
166,Arts,Music at CIT Cork School of Music,CR121,904,,904,,904,,1141,8,Cork Institute of Technology,#,avp,
167,Arts,Popular Music at CIT Cork School of Music,CR125,1028,,,,1028,,1029,8,Cork Institute of Technology,#,avp,
168,Arts,Musical Theatre at CIT Cork School of Music,CR130,525,,,,525,,600,8,Cork Institute of Technology,#,,
169,Business and administration,Business Information Systems,CR150,350,,,,350,,409,8,Cork Institute of Technology,,,
170,Arts,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",CR210,450,,,,450,,450,8,Cork Institute of Technology,#,,
171,Arts,Fine Art at CIT Crawford College of Art and Design,CR220,400,,,,400,,400,8,Cork Institute of Technology,#,,
172,Arts,Photography with New Media at CIT Crawford College of Art and Design,CR225,435,,,,435,,560,8,Cork Institute of Technology,#,avp,
174,Physical sciences,Physical Sciences (Common Entry),CR305,260,,,,260,,357,8,Cork Institute of Technology,,,
175,Information and Communication Technologies (ICTs),IT Management,CR310,347,,,,347,,372,8,Cork Institute of Technology,,,
176,Biological and related sciences,Biomedical Science - Offered jointly by CIT and UCC,CR320,590,*,,,590,*,601,8,Cork Institute of Technology,,,
177,Biological and related sciences,Pharmaceutical Biotechnology,CR325,466,,,,466,,488,8,Cork Institute of Technology,,,
178,Health,Nutrition and Health Science,CR333,425,,,,425,,455,8,Cork Institute of Technology,,,
179,Biological and related sciences,Biological Sciences (Common Entry),CR335,473,,,,473,,507,8,Cork Institute of Technology,,,
180,Physical sciences,Analytical Chemistry with Quality Assurance,CR340,327,,,,327,,400,8,Cork Institute of Technology,,,
181,Physical sciences,Instrument Engineering,CR360,301,,,,301,,378,8,Cork Institute of Technology,,,
182,Environment,Environmental Science and Sustainable Technology,CR365,262,,,,262,,347,8,Cork Institute of Technology,,,
183,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agri-Biosciences,CR370,368,,,,368,,423,8,Cork Institute of Technology,,,
184,Business and administration,Accounting,CR400,315,,,,315,,423,8,Cork Institute of Technology,,,
185,Business and administration,Marketing,CR420,290,,,,290,,357,8,Cork Institute of Technology,,,
186,Business and administration,International Business with Language,CR425,279,,,,279,,419,8,Cork Institute of Technology,,,
187,Personal services,Sport and Exercise Management,CR430,402,,,,402,,434,8,Cork Institute of Technology,,,
188,Education,Montessori Education,CR440,409,,408,,408,,431,8,Cork Institute of Technology,,,
189,Engineering and engineering trades,Engineering (Common Entry),CR500,475,,,,475,,499,8,Cork Institute of Technology,,,
190,Environment,Sustainable Energy Engineering,CR510,320,,,,320,,393,8,Cork Institute of Technology,,,
191,Health,Biomedical Engineering,CR520,444,,,,444,,498,8,Cork Institute of Technology,,,
192,Architecture and construction,Architectural Technology,CR560,375,,,,375,,436,8,Cork Institute of Technology,,,
193,Architecture and construction,Interior Architecture,CR565,431,,,,431,,465,8,Cork Institute of Technology,,,
194,Architecture and construction,Quantity Surveying,CR570,375,,,,375,,429,8,Cork Institute of Technology,,,
195,Architecture and construction,Construction Management,CR572,300,,,,300,,349,8,Cork Institute of Technology,,,
196,Engineering and engineering trades,Electrical Engineering,CR580,342,,,,342,,401,8,Cork Institute of Technology,,,
197,Engineering and engineering trades,Electronic Engineering,CR590,329,,,,329,,409,8,Cork Institute of Technology,,,
198,Arts,Visual Communications at CIT Crawford College of Art and Design,CR600,280,,,,280,,510,8,Cork Institute of Technology,#,,
204,Personal services,Tourism Management,CR660,246,,,,246,,328,8,Cork Institute of Technology,,,
205,Arts,Theatre and Drama Studies at CIT Cork School of Music,CR700,609,,609,,609,,894,8,Cork Institute of Technology,#,avp,
208,Education,Home Economics and Business,CR930,518,*,,,510,*,542,8,Cork Institute of Technology,,,
209,Arts,Arts - 3 years,CK101,300,,,,300,,400,8,University College Cork (NUI),,,
210,Social and behavioural sciences,Social Science,CK102,434,,431,,420,,462,8,University College Cork (NUI),,,
211,Arts,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK104,339,,,,339,,485,8,University College Cork (NUI),#,,
212,Arts,Film and Screen Media - 3 years or 4 years (International Pathway),CK105,421,,420,*,420,,488,8,University College Cork (NUI),,,
213,Humanities (except languages),Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),CK107,312,,,,312,,425,8,University College Cork (NUI),,,
214,Languages,Arts International - 4 years,CK108,440,*,440,,440,,487,8,University College Cork (NUI),,,
215,Languages,English - 3 years or 4 years (International Pathway),CK109,367,,357,,352,,462,8,University College Cork (NUI),,,
216,Languages,World Languages,CK110,488,,,,488,,522,8,University College Cork (NUI),,,
217,Welfare,Early Years and Childhood Studies,CK111,409,,403,,378,,445,8,University College Cork (NUI),,,
218,Arts,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),CK112,371,,,,371,,533,8,University College Cork (NUI),#,,
219,Social and behavioural sciences,Criminology - 3 years or 4 years (International Pathway),CK113,464,,463,,456,,486,8,University College Cork (NUI),,,
220,Welfare,Social Science (Youth and Community Work),CK114,#,,,,#,,,8,University College Cork (NUI),#,,
221,Welfare,Social Work - Mature Applicants only,CK115,,,,,,,,8,University College Cork (NUI),,,
222,Arts,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK118,347,,339,,339,,444,8,University College Cork (NUI),,,
223,Social and behavioural sciences,Applied Psychology,CK120,544,,543,*,543,*,555,8,University College Cork (NUI),,,
224,Social and behavioural sciences,Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK121,499,,488,,478,,522,8,University College Cork (NUI),,,
225,Social and behavioural sciences,Government and Political Science,CK122,399,,,,397,,465,8,University College Cork (NUI),,,
226,Humanities (except languages),Anthropology,CK123,308,,,,308,,429,8,University College Cork (NUI),,,
227,Education,Education - Gaeilge,CK124,473,,,,473,,522,8,University College Cork (NUI),,,
228,Education,Sports Studies and Physical Education,CK125,564,,555,*,555,*,589,8,University College Cork (NUI),,,
229,Business and administration,Commerce,CK201,500,,499,*,499,*,532,8,University College Cork (NUI),,,
230,Business and administration,Accounting,CK202,553,,543,*,532,*,566,8,University College Cork (NUI),,,
231,Information and Communication Technologies (ICTs),Business Information Systems,CK203,455,,452,,445,,490,8,University College Cork (NUI),,,
232,Business and administration,Finance,CK204,566,*,566,*,566,,601,8,University College Cork (NUI),,,
233,Business and administration,Commerce (International) with French,CK205,465,,,,462,,522,8,University College Cork (NUI),,,
234,Business and administration,Commerce (International) with German,CK206,466,,455,,455,,521,8,University College Cork (NUI),,,
235,Business and administration,Commerce (International) with Italian,CK207,423,,418,,418,,441,8,University College Cork (NUI),,,
236,Business and administration,Commerce (International) with Hispanic Studies,CK208,488,,486,,477,,528,8,University College Cork (NUI),,,
237,Business and administration,Commerce (International) with Irish,CK209,507,,,,507,,534,8,University College Cork (NUI),,,
238,Business and administration,Commerce (International) with Chinese Studies,CK211,385,,,,385,,477,8,University College Cork (NUI),,,
239,Social and behavioural sciences,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,CK212,445,,444,,431,,474,8,University College Cork (NUI),,,
240,Business and administration,Food Marketing and Entrepreneurship,CK213,466,,,,466,,498,8,University College Cork (NUI),,,
241,Social and behavioural sciences,International Development,CK214,332,,,,332,,451,8,University College Cork (NUI),,,
242,Law,Law (Pathways) -  3 or 4 years,CK301,533,,532,*,532,,556,8,University College Cork (NUI),,,
243,Law,Law and French,CK302,545,,,,545,,564,8,University College Cork (NUI),,,
244,Law,Law and Irish,CK304,588,,,,588,,601,8,University College Cork (NUI),,,
245,Law,Law and Business,CK307,589,*,589,*,589,,601,8,University College Cork (NUI),,,
246,Information and Communication Technologies (ICTs),Computer Science,CK401,503,,495,,488,,531,8,University College Cork (NUI),,,
247,Biological and related sciences,Biological and Chemical Sciences,CK402,555,*,555,,554,*,577,8,University College Cork (NUI),,,
248,Biological and related sciences,"Biological, Earth and Environmental Sciences",CK404,500,,495,*,487,*,521,8,University College Cork (NUI),,,
249,Biological and related sciences,Genetics,CK405,543,,,,533,,554,8,University College Cork (NUI),,,
250,Physical sciences,Chemical Sciences,CK406,532,,,,532,,554,8,University College Cork (NUI),,,
251,Mathematics and statistics,Mathematical Sciences,CK407,566,,,,566,,601,8,University College Cork (NUI),,,
252,Physical sciences,Physics and Astrophysics,CK408,566,,,,555,,601,8,University College Cork (NUI),,,
253,Physical sciences,Industrial Physics - Offered jointly by UCC and CIT,CK409,465,,,,465,,509,8,University College Cork (NUI),,,
254,Information and Communication Technologies (ICTs),Data Science and Analytics,CK411,531,,,,531,,577,8,University College Cork (NUI),,,
255,Agriculture,Agricultural Science,CK412,506,,,,506,,544,8,University College Cork (NUI),,,
256,Biological and related sciences,Nutritional Sciences,CK504,555,,554,*,544,*,566,8,University College Cork (NUI),,,
257,Manufacturing and processing,Food Science,CK505,463,,,,463,,489,8,University College Cork (NUI),,,
258,Engineering and engineering trades,Engineering,CK600,510,,509,*,499,,555,8,University College Cork (NUI),,,
259,Architecture and construction,Architecture - Offered jointly by UCC and CIT,CK606,543,,,,543,,565,8,University College Cork (NUI),,,
260,Health,Medicine (Undergraduate Entry - HPAT required),CK701,738,,737,*,737,*,743,8,University College Cork (NUI),#,,
261,Health,Dentistry,CK702,625,*,625,*,625,*,625,8,University College Cork (NUI),,,
262,Health,Pharmacy,CK703,613,*,613,*,613,*,625,8,University College Cork (NUI),,,
263,Health,Occupational Therapy,CK704,601,*,,,590,*,602,8,University College Cork (NUI),,,
264,Health,Speech and Language Therapy,CK705,568,,566,*,566,,589,8,University College Cork (NUI),,,
265,Health,Public Health Sciences,CK706,500,,,,500,,532,8,University College Cork (NUI),,,
266,Health,Medical and Health Sciences,CK707,578,*,,,578,*,601,8,University College Cork (NUI),,,
267,Health,General Nursing,CK710,498,*,497,*,495,*,519,8,University College Cork (NUI),,,
268,Health,Children`s and General Nursing (Integrated),CK712,565,,,,565,,578,8,University College Cork (NUI),,,
269,Health,Mental Health Nursing,CK720,455,,452,,452,,467,8,University College Cork (NUI),,,
270,Health,Intellectual Disability Nursing,CK730,431,,,,429,,451,8,University College Cork (NUI),,,
271,Health,Midwifery,CK740,509,*,,,509,,543,8,University College Cork (NUI),,,
272,Health,Medicine  - Graduate Entry (GAMSAT required),CK791,60,*,60,*,60,*,61,8,University College Cork (NUI),#,,
273,Business and administration,International Business,AC120,294,,294,,294,,352,8,American College,,avp,
274,Humanities (except languages),Liberal Arts,AC137,271,,270,,270,,334,8,American College,,avp,
275,Information and Communication Technologies (ICTs),Computing and IT,CT125,242,,242,,242,,334,8,CCT College Dublin,,avp,
276,Business and administration,Business,CT325,253,,253,,253,,337,8,CCT College Dublin,,avp,
277,Education,Education - Primary Teaching,CM001,508,,,,508,,518,8,Marino Institute of Education,,,
278,Education,Education - Primary Teaching - Gaeltacht Applicants,CM002,462,,,,462,,506,8,Marino Institute of Education,#,,
279,Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,CM003,513,,,,513,,546,8,Marino Institute of Education,#,,
280,Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),CM004,480,,,,480,,618,8,Marino Institute of Education,#,,
281,Education,Education Studies,CM010,382,,327,,327,,440,8,Marino Institute of Education,,avp,
282,Education,Early Childhood Education,CM020,317,,,,317,,377,8,Marino Institute of Education,,,
286,Information and Communication Technologies (ICTs),Computing,DB500,234,,234,,204,,333,8,Dublin Business School,,avp,
287,Information and Communication Technologies (ICTs),Computing (Cloud Computing),DB501,,,178,,178,,309,8,Dublin Business School,,avp,
288,Information and Communication Technologies (ICTs),Computing (Data Analytics and Big Data),DB502,267,,233,,233,,351,8,Dublin Business School,,avp,
289,Information and Communication Technologies (ICTs),Computing (Software Development),DB503,,,,,,,0,8,Dublin Business School,,,
290,Information and Communication Technologies (ICTs),Computing (Web and Mobile Technology),DB504,,,,,,,0,8,Dublin Business School,,,
291,Arts,Audio Production and Music Project Management,DB510,217,,217,,217,,317,8,Dublin Business School,,avp,
292,Business and administration,Business Studies,DB512,243,,210,,210,,347,8,Dublin Business School,,avp,
293,Business and administration,Business Studies (Law),DB514,239,,225,,225,,346,8,Dublin Business School,,avp,
294,Business and administration,Business Studies (Human Resource Management),DB515,242,,217,,217,,318,8,Dublin Business School,,avp,
295,Business and administration,Marketing (Event Management),DB517,233,,225,,225,,336,8,Dublin Business School,,avp,
296,Business and administration,Marketing (Digital Media),DB518,307,,209,,209,,354,8,Dublin Business School,,avp,
297,Business and administration,Accounting and Finance,DB521,243,,228,,228,,379,8,Dublin Business School,,avp,
298,Information and Communication Technologies (ICTs),Business (Information Systems),DB524,247,,239,,239,,327,8,Dublin Business School,,avp,
299,Business and administration,Marketing (Digital Media and Cloud Computing),DB525,288,,288,,288,,337,8,Dublin Business School,,avp,
300,Information and Communication Technologies (ICTs),Business (Cloud Computing),DB526,244,,244,,244,,327,8,Dublin Business School,,avp,
301,Social and behavioural sciences,Applied Social Care,DB527,254,,219,,219,,308,8,Dublin Business School,,avp,
303,Business and administration,Marketing,DB531,288,,176,,176,,368,8,Dublin Business School,,avp,
305,Social and behavioural sciences,Psychology,DB562,244,,233,,233,,342,8,Dublin Business School,,avp,
307,Social and behavioural sciences,Social Science,DB566,262,,228,,228,,319,8,Dublin Business School,,avp,
308,Arts,Film and Creative Media,DB567,245,,213,,213,,298,8,Dublin Business School,,avp,
309,Law,Law,DB568,254,,228,,228,,347,8,Dublin Business School,,avp,
310,Business and administration,Business (Psychology),DB569,240,,240,,240,,338,8,Dublin Business School,,avp,
316,Education,Education - Early Childhood Education,DC001,445,,,,445,,474,8,Dublin City University,,,
317,Education,Education - Primary Teaching,DC002,518,*,,,518,*,543,8,Dublin City University,,,
318,Education,Education - Primary Teaching - Gaeltacht Applicants,DC003,489,,,,496,,509,8,Dublin City University,#,,
319,Education,Education - Primary Teaching (Church of Ireland Centre formerly CICE),DC004,451,,,,451,,,8,Dublin City University,#,,
320,Arts,Arts (Joint Honours) - Humanities,DC009,356,,,,356,,431,8,Dublin City University,,,
321,Education,Post Primary Teacher Education - Religious Education and English,DC010,384,,,,384,,441,8,Dublin City University,,,
322,Education,Post Primary Teacher Education - Religious Education and History,DC011,409,,,,409,,455,8,Dublin City University,,,
323,Education,Post Primary Teacher Education - Religious Education and Music,DC012,409,,,,409,,451,8,Dublin City University,#,,
324,Education,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,DC013,413,,,,413,,510,8,Dublin City University,,,
325,Arts,BA in Jazz and Contemporary Music Performance (audition),DC014,311,,,,311,,634,8,Dublin City University,#,,
326,Business and administration,Business Studies International,DC110,498,,,,498,,526,8,Dublin City University,#,,
327,Business and administration,Business Studies,DC111,511,,,,511,,532,8,Dublin City University,,,
328,Business and administration,Global Business (France),DC112,542,*,,,542,*,564,8,Dublin City University,,,
