,COURSE CODE2,COURSE TITLE,HEI,R1 POINTS,R2 POINTS,EOS
543,GA370,Hotel and Catering Management,Galway-Mayo Institute of Technology,198,,198
544,GA376,Event Management with Public Relations,Galway-Mayo Institute of Technology,206,187,187
545,GA377,International Tourism Management,Galway-Mayo Institute of Technology,172,,172
546,GA378,Culinary and Gastronomic Science,Galway-Mayo Institute of Technology,219,,219
547,GA380,International Hotel Management,Galway-Mayo Institute of Technology,242,,242
548,GA381,International Tourism Management,Galway-Mayo Institute of Technology,278,,278
549,GA382,Culinary and Gastronomic Science,Galway-Mayo Institute of Technology,206,,206
550,GA384,Event Management with Public Relations,Galway-Mayo Institute of Technology,212,,212
551,GA470,Construction Management,Galway-Mayo Institute of Technology,244,243,243
552,GA471,Quantity Surveying and Construction Economics,Galway-Mayo Institute of Technology,200,,200
553,GA472,Architectural Technology,Galway-Mayo Institute of Technology,226,,226
554,GA473,Civil Engineering,Galway-Mayo Institute of Technology,241,,241
555,GA480,Construction Management,Galway-Mayo Institute of Technology,260,,260
556,GA482,Quantity Surveying and Construction Economics,Galway-Mayo Institute of Technology,288,,288
557,GA483,Architectural Technology,Galway-Mayo Institute of Technology,265,,265
558,GA484,Civil Engineering,Galway-Mayo Institute of Technology,290,,290
559,GA570,Software and Electronic Engineering,Galway-Mayo Institute of Technology,224,,224
560,GA580,Software and Electronic Engineering,Galway-Mayo Institute of Technology,300,,300
561,GA670,Mechanical Engineering,Galway-Mayo Institute of Technology,265,,265
562,GA673,Energy Engineering,Galway-Mayo Institute of Technology,260,,260
563,GA674,Biomedical Engineering,Galway-Mayo Institute of Technology,298,,298
564,GA675,Agricultural Engineering,Galway-Mayo Institute of Technology,298,,298
565,GA676,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),Galway-Mayo Institute of Technology,290,,290
566,GA677,Manufacturing Engineering Design,Galway-Mayo Institute of Technology,235,,235
567,GA680,Mechanical Engineering,Galway-Mayo Institute of Technology,330,,330
568,GA681,Energy Engineering,Galway-Mayo Institute of Technology,293,,293
569,GA682,Biomedical Engineering,Galway-Mayo Institute of Technology,313,,313
570,GA683,Agricultural Engineering,Galway-Mayo Institute of Technology,309,,309
571,GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),Galway-Mayo Institute of Technology,340,,340
572,GA685,Manufacturing Engineering Design,Galway-Mayo Institute of Technology,309,,309
573,GA770,Applied Freshwater and Marine Biology,Galway-Mayo Institute of Technology,280,,280
574,GA771,Applied Biology and Biopharmaceutical Science,Galway-Mayo Institute of Technology,280,,280
575,GA772,Chemical and Pharmaceutical Science,Galway-Mayo Institute of Technology,280,,280
576,GA773,Physics and Instrumentation,Galway-Mayo Institute of Technology,299,,299
577,GA774,Science (Undenominated),Galway-Mayo Institute of Technology,289,,289
578,GA775,Computing in Software Development,Galway-Mayo Institute of Technology,260,,260
579,GA776,Computing and Digital Media,Galway-Mayo Institute of Technology,241,,241
580,GA777,Agriculture and Environmental Management,Galway-Mayo Institute of Technology,281,,281
581,GA780,Applied Freshwater and Marine Biology,Galway-Mayo Institute of Technology,327,,327
582,GA781,Applied Biology and Biopharmaceutical Science,Galway-Mayo Institute of Technology,337,,337
583,GA782,Chemical and Pharmaceutical Science,Galway-Mayo Institute of Technology,336,,336
584,GA783,Physics and Instrumentation,Galway-Mayo Institute of Technology,363,,363
585,GA784,Science (Undenominated),Galway-Mayo Institute of Technology,372,,372
586,GA785,Medical Science,Galway-Mayo Institute of Technology,473,,473
587,GA786,Forensic Science and Analysis,Galway-Mayo Institute of Technology,317,,317
588,GA787,Computing in Software Development,Galway-Mayo Institute of Technology,270,,270
589,GA788,Computing and Digital Media,Galway-Mayo Institute of Technology,274,,282
590,GA789,Agriculture and Environmental Management,Galway-Mayo Institute of Technology,287,,289
591,GA790,Sport and Exercise Science,Galway-Mayo Institute of Technology,356,,356
592,GA791,Public Health Nutrition,Galway-Mayo Institute of Technology,368,,368
593,GA862,History & Geography,Galway-Mayo Institute of Technology,178,,178
594,GA864,Early Childhood Education and Care,Galway-Mayo Institute of Technology,214,204,204
595,GA870,Outdoor Education and Leisure,Galway-Mayo Institute of Technology,182,171,171
596,GA871,Early Childhood Education and Care,Galway-Mayo Institute of Technology,190,,190
597,GA872,Culture and Environment,Galway-Mayo Institute of Technology,196,,196
598,GA879,Applied Social Care,Galway-Mayo Institute of Technology,244,,244
599,GA880,General Nursing,Galway-Mayo Institute of Technology,429,422,422
600,GA882,Psychiatric Nursing,Galway-Mayo Institute of Technology,367,,367
601,GA885,Outdoor Education,Galway-Mayo Institute of Technology,252,,252
602,GA887,History and Geography,Galway-Mayo Institute of Technology,244,,244
603,GA889,Applied Social Care,Galway-Mayo Institute of Technology,266,,266
604,GA890,Early Childhood Education and Care,Galway-Mayo Institute of Technology,270,,270
605,GA891,Geography and Outdoor Education,Galway-Mayo Institute of Technology,244,,244
606,GA974,"Furniture Design, Making and Technology - Common Entry",Galway-Mayo Institute of Technology,214,,214
607,GA980,Education (Design Graphics and Construction),Galway-Mayo Institute of Technology,377,,377
608,GA984,"Furniture Design, Making and Technology - Common Entry",Galway-Mayo Institute of Technology,284,,284
609,GB001,Business,Galway Business School,,,115
610,GC200,Business Studies,Griffith College,252,252,252
611,GC201,Accounting and Finance,Griffith College,303,303,303
612,GC230,Computing Science,Griffith College,335,325,325
613,GC250,Communications and Media Production,Griffith College,,,
614,GC300,Business Studies,Griffith College,429,,390
615,GC301,Accounting & Finance,Griffith College,253,253,253
616,GC302,Business Studies - HRM,Griffith College,,,
617,GC305,International Hospitality Management,Griffith College,253,253,253
618,GC306,International Hospitality Management,Griffith College,253,253,253
619,GC335,Computing,Griffith College,217,195,195
620,GC400,Business Studies,Griffith College,248,248,248
621,GC401,Accounting and Finance,Griffith College,240,227,202
622,GC402,Business Studies (HRM),Griffith College,264,236,218
623,GC403,Law,Griffith College,244,228,228
624,GC407,Business Studies (Marketing),Griffith College,280,280,218
625,GC410,Marketing,Griffith College,145,,145
626,GC411,Business,Griffith College,135,135,135
627,GC430,Computing Science,Griffith College,252,220,220
628,GC435,Computing,Griffith College,AQA,AQA,96
629,GC450,Communications and Media Production,Griffith College,254,254,254
630,GC460,Music Production for Games (portfolio),Griffith College,,,
631,GC462,Design Communication (portfolio),Griffith College,,,
632,GC465,Communications,Griffith College,AQA,,AQA
633,GC466,Film and TV Production,Griffith College,AQA,AQA,AQA
634,GC470,Photographic Media,Griffith College,169,169,169
635,GC475,Photography,Griffith College,150,150,150
636,GC489,Interior Architecture (portfolio),Griffith College,254,,254
637,GC490,Interior Design,Griffith College,117,117,117
638,GC494,Fashion Design (portfolio),Griffith College,337,217,217
639,GC495,Fashion,Griffith College,129,129,129
640,GY101,Arts (Joint-Honours),"National University of Ireland, Galway",300,,300
641,GY104,Arts (Psychology),"National University of Ireland, Galway",523,520,519
642,GY105,Arts (History),"National University of Ireland, Galway",301,,301
643,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),"National University of Ireland, Galway",409,,409
644,GY109,Arts (Mathematics and Education),"National University of Ireland, Galway",403,,403
645,GY110,Arts with Children`s Studies,"National University of Ireland, Galway",357,,357
646,GY111,Arts with Creative Writing,"National University of Ireland, Galway",330,,330
647,GY112,Arts with Film Studies,"National University of Ireland, Galway",321,,321
648,GY113,Arts with Human Rights,"National University of Ireland, Galway",368,,368
649,GY115,Arts with Performing Arts Studies,"National University of Ireland, Galway",387,,387
650,GY118,"Arts (Drama, Theatre and Performance Studies)","National University of Ireland, Galway",451,,451
651,GY119,Arts (Journalism),"National University of Ireland, Galway",400,,400
652,GY120,"Arts (Child, Youth and Family: Policy and Practice)","National University of Ireland, Galway",350,,350
653,GY121,Arts (Children`s Studies),"National University of Ireland, Galway",356,,356
654,GY122,Na Dána (Cumarsáid agus Gaeilge),"National University of Ireland, Galway",361,,361
655,GY123,Applied Social Sciences,"National University of Ireland, Galway",358,,358
656,GY124,Arts (Arts with Data Science),"National University of Ireland, Galway",454,,454
657,GY125,Arts (Digital Arts and Technology),"National University of Ireland, Galway",328,,328
658,GY126,Arts (English and Media Studies),"National University of Ireland, Galway",391,,391
659,GY127,Arts (Film and Digital Media),"National University of Ireland, Galway",401,,401
660,GY128,Arts (Global Languages),"National University of Ireland, Galway",352,,352
661,GY129,Arts (International),"National University of Ireland, Galway",420,,420
662,GY130,Arts (Music),"National University of Ireland, Galway",408,,408
663,GY131,Arts (History and Globalisation Studies),"National University of Ireland, Galway",360,,360
664,GY132,"Government (Politics, Economics and Law)","National University of Ireland, Galway",407,,407
665,GY133,Education (Computer Science and Mathematical Studies),"National University of Ireland, Galway",422,,422
666,GY134,Geography and Geosystems,"National University of Ireland, Galway",410,,410
667,GY201,Commerce,"National University of Ireland, Galway",433,,433
668,GY202,Commerce (International) with French,"National University of Ireland, Galway",484,,484
669,GY203,Commerce (International) with German,"National University of Ireland, Galway",489,,489
670,GY204,Commerce (International) with Spanish,"National University of Ireland, Galway",495,,495
671,GY206,Business Information Systems (Work Placement & Optional Int`l Study),"National University of Ireland, Galway",465,,465
672,GY207,Commerce (Accounting) including optional Global Experience year,"National University of Ireland, Galway",509,,509
673,GY208,Commerce (Gaeilge),"National University of Ireland, Galway",473,,473
674,GY209,Commerce (Global Experience),"National University of Ireland, Galway",530,,530
675,GY250,Law and Business,"National University of Ireland, Galway",487,,487
676,GY251,Law (BCL),"National University of Ireland, Galway",499,,499
677,GY252,Law (BCL) and Human Rights,"National University of Ireland, Galway",520,,520
678,GY253,Law and Taxation,"National University of Ireland, Galway",509,,509
679,GY254,"Law (BCL), Criminology and Criminal Justice","National University of Ireland, Galway",530,,530
680,GY261,"Business Studies (International Hotel Management, interview)","National University of Ireland, Galway",497,,497
681,GY262,"Commerce (International Hotel Management, interview)","National University of Ireland, Galway",681,,681
682,GY301,Science,"National University of Ireland, Galway",433,432,432
683,GY303,Biomedical Science,"National University of Ireland, Galway",556,,556
684,GY304,Biotechnology,"National University of Ireland, Galway",465,,465
685,GY308,Environmental Science,"National University of Ireland, Galway",408,,408
686,GY309,Financial Mathematics and Economics,"National University of Ireland, Galway",487,,487
687,GY310,Marine Science,"National University of Ireland, Galway",419,,419
688,GY313,Environmental Health and Safety,"National University of Ireland, Galway",412,,412
689,GY314,Earth and Ocean Sciences,"National University of Ireland, Galway",403,,403
690,GY318,Biopharmaceutical Chemistry,"National University of Ireland, Galway",509,,509
691,GY319,Mathematical Science,"National University of Ireland, Galway",476,,476
692,GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)","National University of Ireland, Galway",402,,402
693,GY321,Genetics and Genomics,"National University of Ireland, Galway",508,,508
694,GY350,Computer Science and Information Technology,"National University of Ireland, Galway",403,,403
695,GY401,Engineering (Undenominated),"National University of Ireland, Galway",465,,465
696,GY402,Civil Engineering,"National University of Ireland, Galway",455,,455
697,GY405,Mechanical Engineering,"National University of Ireland, Galway",454,,454
698,GY406,Electronic and Computer Engineering,"National University of Ireland, Galway",510,,510
699,GY408,Biomedical Engineering,"National University of Ireland, Galway",509,,509
700,GY410,Project and Construction Management,"National University of Ireland, Galway",403,,403
701,GY413,Energy Systems Engineering,"National University of Ireland, Galway",502,,502
702,GY414,Electrical and Electronic Engineering,"National University of Ireland, Galway",405,,405
703,GY501,"Medicine (five year/six year course, HPAT required)","National University of Ireland, Galway",728,,728
704,GY502,Occupational Therapy,"National University of Ireland, Galway",555,,555
705,GY503,Speech and Language Therapy,"National University of Ireland, Galway",543,,543
706,GY504,Podiatric Medicine,"National University of Ireland, Galway",443,,443
707,GY515,General Nursing (Galway and Portiuncula),"National University of Ireland, Galway",476,473,473
708,GY516,Mental Health Nursing,"National University of Ireland, Galway",440,,440
709,GY517,Midwifery,"National University of Ireland, Galway",495,,495
710,ID001,Accounting and Finance,ICD Business School,203,,203
711,ID002,Business Studies,ICD Business School,294,,294
712,LC110,"Art and Design (Common Entry, portfolio)",Limerick Institute of Technology,740,,740
713,LC114,Fashion and Textiles for Product and Costume (portfolio),Limerick Institute of Technology,880,,880
714,LC115,Art and Design Teacher Education (portfolio),Limerick Institute of Technology,942,,942
715,LC220,Digital Marketing,Limerick Institute of Technology,262,,262
716,LC221,Accounting and Finance,Limerick Institute of Technology,241,,251
717,LC222,Marketing and Management,Limerick Institute of Technology,270,,270
718,LC223,Law and Taxation,Limerick Institute of Technology,307,,307
719,LC224,Accounting and Finance,Limerick Institute of Technology,300,,300
720,LC225,Marketing and Management,Limerick Institute of Technology,298,,298
721,LC226,Enterprise and Innovation,Limerick Institute of Technology,234,234,234
722,LC228,Sports Development and Coaching,Limerick Institute of Technology,205,,205
723,LC230,Business with Computing,Limerick Institute of Technology,217,,217
724,LC233,Software Development,Limerick Institute of Technology,272,,272
725,LC234,Interactive Digital Media,Limerick Institute of Technology,225,,225
726,LC235,Internet Systems Development,Limerick Institute of Technology,205,,205
727,LC236,Internet Systems Development,Limerick Institute of Technology,262,260,260
728,LC239,Computer Networks and Systems Management,Limerick Institute of Technology,307,,309
729,LC241,Construction Management,Limerick Institute of Technology,255,,255
730,LC242,Property Valuation and Management,Limerick Institute of Technology,282,,282
731,LC243,Quantity Surveying,Limerick Institute of Technology,294,,298
732,LC248,Built Environment (Common Entry),Limerick Institute of Technology,288,,288
733,LC251,Civil Engineering,Limerick Institute of Technology,206,,206
734,LC252,Civil Engineering Management,Limerick Institute of Technology,270,,270
735,LC257,Interior Design,Limerick Institute of Technology,264,,264
736,LC260,Applied Biology,Limerick Institute of Technology,326,,326
737,LC263,Clinical Technology,Limerick Institute of Technology,294,,294
738,LC265,Forensic and Pharmaceutical Sciences,Limerick Institute of Technology,413,,413
739,LC266,Drug and Medicinal Product Analysis,Limerick Institute of Technology,262,,262
740,LC267,Forensic and Pharmaceutical Sciences,Limerick Institute of Technology,329,,329
741,LC268,Medical Technology,Limerick Institute of Technology,289,,289
742,LC270,Music Technology and Production,Limerick Institute of Technology,307,,307
743,LC271,Electrical Engineering,Limerick Institute of Technology,261,,261
744,LC275,Electrical Engineering,Limerick Institute of Technology,298,,298
745,LC276,Creative Broadcast and Film Production,Limerick Institute of Technology,297,,297
746,LC277,Industrial Automation and Robotic Systems,Limerick Institute of Technology,232,,232
747,LC278,Renewable and Electrical Energy Engineering,Limerick Institute of Technology,280,,280
748,LC279,Electronic Engineering,Limerick Institute of Technology,214,,226
749,LC281,Automobile Technology,Limerick Institute of Technology,208,,208
750,LC283,Precision Engineering,Limerick Institute of Technology,227,,233
751,LC284,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",Limerick Institute of Technology,200,,200
752,LC285,Mechanical Engineering,Limerick Institute of Technology,272,,272
753,LC286,Road Transport Technology and Management,Limerick Institute of Technology,264,,264
754,LC288,Mechanical Engineering,Limerick Institute of Technology,347,346,346
755,LC289,Precision Engineering,Limerick Institute of Technology,291,,291
756,LC290,Community Sport Development,Limerick Institute of Technology,188,,188
757,LC292,Social Care Work,Limerick Institute of Technology,367,,367
758,LC293,Business Studies with Travel and Tourism Management,Limerick Institute of Technology,307,,307
759,LC294,Business Studies with Event Management,Limerick Institute of Technology,279,,279
760,LC295,Business Studies with Sports Management,Limerick Institute of Technology,252,,252
761,LC297,Community Development,Limerick Institute of Technology,235,,235
762,LC320,Business,Limerick Institute of Technology,346,,346
763,LC330,Business with Computing,Limerick Institute of Technology,297,,297
764,LC336,Computing,Limerick Institute of Technology,207,,222
765,LC340,Interior Design,Limerick Institute of Technology,350,,350
766,LC362,Biotechnology and Biopharmaceutical Sciences,Limerick Institute of Technology,413,,413
767,LC371,Creative Broadcast and Film Production,Limerick Institute of Technology,309,,309
768,LC372,Music Technology and Production,Limerick Institute of Technology,325,,325
769,LC374,Renewable and Electrical Energy Engineering,Limerick Institute of Technology,318,,318
770,LC375,Industrial Automation and Robotic Systems,Limerick Institute of Technology,317,,317
771,LC376,Electronic Engineering,Limerick Institute of Technology,318,,318
772,LC380,Automotive Engineering and Transport Management,Limerick Institute of Technology,303,298,298
773,LC392,Business Studies in Beauty and Spa Management,Limerick Institute of Technology,236,,236
774,LC393,Early Childhood Education and Care,Limerick Institute of Technology,236,,236
775,LC398,Culinary Arts,Limerick Institute of Technology,163,,163
776,LC399,Hospitality Supervision,Limerick Institute of Technology,148,,148
777,LC401,Early Childhood Education and Care,Limerick Institute of Technology,297,,297
778,LC402,Social Care Work,Limerick Institute of Technology,225,,225
779,LC408,Environmental Science and Climate,Limerick Institute of Technology,279,,279
780,LC414,Data Analytics and Cyber Security,Limerick Institute of Technology,236,,236
781,LC415,Business,Limerick Institute of Technology,197,,197
782,LC416,Business,Limerick Institute of Technology,274,,274
783,LC418,Computing - Games Design and Development,Limerick Institute of Technology,270,,270
784,LC422,Sports Strength and Conditioning,Limerick Institute of Technology,298,,298
785,LC423,Sports Strength and Conditioning,Limerick Institute of Technology,157,,157
786,LC425,Environmental Science,Limerick Institute of Technology,278,,278
787,LC428,Environmental Science and Agriculture,Limerick Institute of Technology,278,,278
788,LC432,Early Childhood Education and Care,Limerick Institute of Technology,144,,144
789,LC434,Environmental Science and Agriculture,Limerick Institute of Technology,297,,297
790,LC502,Game Art and Design (portfolio),Limerick Institute of Technology,852,,852
791,LC504,Creative Media and Design,Limerick Institute of Technology,192,,192
792,LC517,Creative Media and Design,Limerick Institute of Technology,234,,234
793,LC518,Digital Animation Production (portfolio),Limerick Institute of Technology,808,,808
794,LC602,Social Care Work,Limerick Institute of Technology,260,,260
795,LC603,Early Childhood Education and Care,Limerick Institute of Technology,147,,174
796,LC605,Business,Limerick Institute of Technology,195,,195
797,LC612,Social Care Work,Limerick Institute of Technology,320,,320
798,LC613,Early Childhood Education and Care,Limerick Institute of Technology,242,,242
799,LM002,Arts,University of Limerick,348,,348
800,LM020,Law and Accounting,University of Limerick,465,,465
801,LM026,Performing Arts (audition required),University of Limerick,303,,303
802,LM028,Criminal Justice,University of Limerick,418,,418
803,LM029,Law Plus,University of Limerick,490,,490
804,LM038,Psychology and Sociology,University of Limerick,500,,500
805,LM039,Journalism and Digital Communication,University of Limerick,402,,402
806,LM040,European Studies,University of Limerick,369,,369
807,LM044,Applied Languages,University of Limerick,442,,442
808,LM050,Business Studies (options),University of Limerick,431,,431
809,LM056,International Business,University of Limerick,528,,528
810,LM058,Financial Mathematics,University of Limerick,403,,403
811,LM063,Technology Management,University of Limerick,379,,379
812,LM068,Food Science and Health,University of Limerick,421,,421
813,LM076,Product Design and Technology (portfolio required),University of Limerick,408,,408
814,LM077,Aeronautical Engineering,University of Limerick,520,,520
815,LM082,Construction Management and Engineering,University of Limerick,398,,398
816,LM089,Sport and Exercise Sciences,University of Limerick,474,,474
817,LM090,Physical Education with concurrent Teacher Education,University of Limerick,532,,532
818,LM091,Languages with concurrent Teacher Education,University of Limerick,517,,517
819,LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),University of Limerick,507,,507
820,LM093,Equine Science,University of Limerick,339,,339
821,LM094,Materials and Architectural Technology with concurrent Teacher Education,University of Limerick,440,,440
822,LM095,Materials and Engineering Technology with concurrent Teacher Education,University of Limerick,367,,367
823,LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),University of Limerick,405,,405
824,LM097,Mathematics and Computer Science with concurrent Teacher Education,University of Limerick,402,,402
825,LM099,Architecture (portfolio requirement suspended),University of Limerick,498,,498
826,LM100,Physiotherapy,University of Limerick,589,,589
827,LM101,Medicine  - Graduate Entry (GAMSAT required),University of Limerick,55,,55
828,LM102,Psychology,University of Limerick,509,,509
829,LM103,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),University of Limerick,392,,392
830,LM115,Chemical and Biochemical Engineering,University of Limerick,454,,454
831,LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),University of Limerick,476,,476
832,LM118,Electronic and Computer Engineering,University of Limerick,403,,403
833,LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),University of Limerick,351,,351
834,LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),University of Limerick,327,,327
835,LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),University of Limerick,441,,441
836,LM124,Mathematics (Math Science/Maths and Physics/Economics and Maths),University of Limerick,437,,437
837,LM125,Physics (Applied Physics or Mathematics & Physics),University of Limerick,404,,404
838,LM150,General Nursing,University of Limerick,475,,475
839,LM152,Mental Health Nursing,University of Limerick,419,,419
840,LM154,Intellectual Disability Nursing,University of Limerick,420,,440
841,LM156,Midwifery,University of Limerick,469,,469
842,LM180,Equine Science,University of Limerick,337,,328
843,LY107,Business - Common Entry,Letterkenny Institute of Technology,161,161,161
844,LY108,Business - Accounting,Letterkenny Institute of Technology,309,,309
845,LY118,Business,Letterkenny Institute of Technology,290,,290
846,LY206,Sports Studies,Letterkenny Institute of Technology,149,148,148
847,LY207,Law with Criminal Justice,Letterkenny Institute of Technology,160,160,160
848,LY208,Law,Letterkenny Institute of Technology,300,,300
849,LY228,Sports and Exercise - Common Entry,Letterkenny Institute of Technology,300,,300
850,LY317,Culinary Arts,Letterkenny Institute of Technology,229,224,224
851,LY327,Hospitality And Tourism - Common Entry,Letterkenny Institute of Technology,170,170,170
852,LY408,Design - Common Entry,Letterkenny Institute of Technology,320,,320
853,LY427,Digital Film and Video,Letterkenny Institute of Technology,172,170,172
854,LY437,Animation,Letterkenny Institute of Technology,198,223,198
855,LY447,Fashion with Promotion,Letterkenny Institute of Technology,266,279,266
856,LY457,Graphic and Digital Design,Letterkenny Institute of Technology,179,204,189
857,LY507,Quantity Surveying,Letterkenny Institute of Technology,181,181,181
858,LY508,Fire Safety Engineering,Letterkenny Institute of Technology,276,,276
859,LY518,Quantity Surveying,Letterkenny Institute of Technology,301,,301
860,LY527,Civil Engineering,Letterkenny Institute of Technology,165,163,163
861,LY528,Construction Management,Letterkenny Institute of Technology,271,,271
862,LY607,Electronic Engineering,Letterkenny Institute of Technology,160,,160
863,LY608,Mechanical Engineering,Letterkenny Institute of Technology,300,,300
864,LY617,Mechanical Engineering,Letterkenny Institute of Technology,180,180,180
865,LY618,Electronic Engineering,Letterkenny Institute of Technology,312,,312
866,LY707,Computer Games Development,Letterkenny Institute of Technology,204,,204
867,LY708,Applied Computing,Letterkenny Institute of Technology,306,,306
868,LY717,Computing,Letterkenny Institute of Technology,164,160,160
869,LY737,Computer Security and Digital Forensics,Letterkenny Institute of Technology,169,169,169
870,LY748,Computer Science,Letterkenny Institute of Technology,317,317,317
871,LY806,Pharmacy Technician,Letterkenny Institute of Technology,232,,232
872,LY816,Dental Nursing,Letterkenny Institute of Technology,233,223,223
873,LY817,Bioscience,Letterkenny Institute of Technology,248,,248
874,LY818,Science - Common Entry,Letterkenny Institute of Technology,303,,303
875,LY826,Health Science with Physiotherapy Studies,Letterkenny Institute of Technology,456,401,339
876,LY828,Agriculture - Common Entry,Letterkenny Institute of Technology,307,,307
877,LY836,Health Science with Occupational Therapy Studies,Letterkenny Institute of Technology,473,408,278
878,LY837,Food Science and Nutrition,Letterkenny Institute of Technology,194,194,194
879,LY846,Health Science with Dietetics Studies,Letterkenny Institute of Technology,316,316,291
880,LY847,Veterinary Nursing,Letterkenny Institute of Technology,367,367,367
881,LY867,Pharmaceutical & Medicinal Science,Letterkenny Institute of Technology,163,163,163
882,LY877,Agriculture,Letterkenny Institute of Technology,202,181,181
883,LY906,"Early Childhood Care, Health and Education",Letterkenny Institute of Technology,205,161,161
884,LY908,General Nursing,Letterkenny Institute of Technology,400,,400
885,LY916,Health and Social Care,Letterkenny Institute of Technology,181,,181
886,LY918,Psychiatric Nursing,Letterkenny Institute of Technology,357,,357
887,LY928,Intellectual Disability Nursing,Letterkenny Institute of Technology,326,,328
888,LY968,"Early Childhood Care, Health and Education",Letterkenny Institute of Technology,303,,303
889,LY978,Health & Social Care - Common Entry,Letterkenny Institute of Technology,280,,280
890,MH001,Education - Primary Teaching (Froebel),Maynooth University,507,,507
891,MH002,Education - Primary Teaching - Gaeltacht Applicants (Froebel),Maynooth University,,,
892,MH101,Arts,Maynooth University,318,,318
893,MH103,Music,Maynooth University,#,,#
894,MH106,Psychology - 3 years,Maynooth University,521,,521
895,MH107,Social Science,Maynooth University,346,,346
896,MH109,Media Studies,Maynooth University,316,,316
897,MH116,Community and Youth Work (Full-Time),Maynooth University,#,,#
898,MH201,Science,Maynooth University,360,,360
899,MH202,Biotechnology,Maynooth University,455,,455
900,MH203,Biological and Geographical Sciences,Maynooth University,430,,430
901,MH204,Physics with Astrophysics,Maynooth University,422,,422
902,MH206,Theoretical Physics and Mathematics,Maynooth University,510,,510
903,MH207,Data Science,Maynooth University,445,,445
904,MH208,Biological and Biomedical Sciences,Maynooth University,498,,498
905,MH209,Psychology (through Science) - 4 years,Maynooth University,498,,498
906,MH210,Pharmaceutical and Biomedical Chemistry,Maynooth University,487,,487
907,MH212,Science or Maths & Computer Science or Maths & Applied Maths (with Ed),Maynooth University,422,,422
908,MH304,Engineering (Computer/Electronic/Communications),Maynooth University,333,333,333
909,MH305,Product Design,Maynooth University,357,,357
910,MH306,Robotics and Intelligent Devices,Maynooth University,361,,361
911,MH401,Finance (options),Maynooth University,357,,357
912,MH402,Quantitative Finance,Maynooth University,476,,476
913,MH403,Accounting and Finance,Maynooth University,422,,422
914,MH404,Business (options),Maynooth University,430,,430
915,MH405,Equine Business,Maynooth University,357,,357
916,MH407,Business and Accounting,Maynooth University,420,,420
917,MH411,Entrepreneurship,Maynooth University,371,,371
918,MH501,LLB Law - four year Single Major Law programme,Maynooth University,473,,473
919,MH502,Law (options),Maynooth University,451,,451
920,MH601,Computer Science through Arts (options),Maynooth University,352,,352
921,MH602,Computer Science through Science (options),Maynooth University,351,,351
922,MH603,Computational Thinking,Maynooth University,532,,532
923,MH801,Early Childhood - Teaching and Learning (part-time),Maynooth University,327,,327
924,MH802,"Community and Youth Work (part-time, in service)",Maynooth University,#,#,#
925,MH803,"Local Studies/Community Studies (part-time, evening) - Mature Students",Maynooth University,#,#,#
926,MI001,Contemporary & Applied Theatre Studies,Mary Immaculate College,375,,390
927,MI002,Arts,Mary Immaculate College,300,281,281
928,MI004,Education - Primary Teaching - International,Mary Immaculate College,577,,577
929,MI005,Education - Primary Teaching,Mary Immaculate College,495,,495
930,MI006,Education - Primary Teaching - Gaeltacht Applicants,Mary Immaculate College,456,,462
931,MI007,Early Childhood Care and Education,Mary Immaculate College,357,,357
932,MI008,Education and Psychology - Primary Teaching,Mary Immaculate College,588,,588
933,MI009,"Education, Business Studies and Accounting",Mary Immaculate College,402,,402
934,MI010,"Education, Business Studies and Religious Studies",Mary Immaculate College,368,,368
935,MI011,"Education, Gaeilge and Religious Studies",Mary Immaculate College,409,,409
936,MI012,"Education, Gaeilge and Business Studies",Mary Immaculate College,401,,401
937,MI013,"Education, Mathematics and Gaeilge",Mary Immaculate College,444,,444
938,MI014,"Education, Mathematics and Business Studies",Mary Immaculate College,434,,434
939,MU001,Theology and Arts,"Pontifical University, St Patrick's College",290,290,290
940,MU002,Theology,"Pontifical University, St Patrick's College",440,,440
941,NC003,Computing (Degree Award options),National College of Ireland (NCI),260,,260
942,NC005,Human Resource Management,National College of Ireland (NCI),300,,300
943,NC009,Business,National College of Ireland (NCI),300,,300
944,NC010,Psychology,National College of Ireland (NCI),400,,400
945,NC020,Marketing Practice,National College of Ireland (NCI),280,,282
946,NC022,Accounting and Finance,National College of Ireland (NCI),337,,337
947,NC023,Technology Management (with specialisations),National College of Ireland (NCI),261,,261
948,NC102,Computing,National College of Ireland (NCI),220,,220
949,NC103,Business,National College of Ireland (NCI),250,,250
950,NC104,Business Computing,National College of Ireland (NCI),243,,243
951,NM701,Montessori Education,St Nicholas Montessori College Ireland,187,,187
